年份,扣非净利润,净利率,总资产周转率,权益乘数,简单ROE,经营现金流,资本开支,自由现金流
2020,30.43,22.27,0.77,2.03,35.09,20.10,1.96,18.14
2021,52.59,26.99,0.80,1.94,42.04,76.45,1.56,74.89
2022,80.87,31.12,0.79,1.79,44.74,103.10,8.26,94.85
2023,104.45,32.76,0.79,1.62,43.06,72.25,4.85,67.40
2024,122.46,34.03,0.74,1.54,39.68,121.72,6.38,115.35
2025,122.53,31.76,0.71,1.46,33.48,90.14,11.94,78.19
