,营收,毛利,股东应占溢利,经营溢利,经营现金流,资本开支,自由现金流,总资产,权益总额,现金及等价物,短期存款,中长期存款,短期投资,长期投资,长期贷款,非流动负债合计,现金头寸_近似,应收账款,存货,合同负债,毛利率,净利率,总资产周转率,权益乘数,简单ROE,资产负债率
2019-12-31,2058.38682,285.54033,100.44164,117.60217,238.10354,34.05163,204.05191,1836.29207,816.57676,259.19861,215.23043,5.90157,164.6339,,47.86856,97.90826,597.09595,69.48567,325.85438,82.37119,0.1387204422539005,0.0487962899024003,1.1209473991792602,2.2487684685025813,0.1230033046740149,0.5553121568509524
2020-12-31,2458.65633,367.51862,203.55504,240.34729,218.785,30.25523,188.52977,2536.79823,1240.13515,547.52443,175.98946,96.08677,231.73843,2.32798,106.34806,217.3938,944.9910299999999,101.61019,416.70719,119.99086,0.1494794597828156,0.0827911723636462,0.9691966435974688,2.045582072244303,0.1641394004516362,0.5111415896880376
2021-12-31,3283.09145,582.60941,193.39321,260.28664,97.85288,71.69313,26.159750000000003,2928.9187,1374.32496,235.11579,310.41129,161.95419,316.20632,3.51362,207.1979,397.31903,816.4896900000001,179.85503,523.97946,92.89177,0.177457563663053,0.0589058248742964,1.120922697512908,2.131168963124995,0.1407186914512562,0.5307739473956721
2022-12-31,2800.44016,475.7719,24.7403,28.16498,-43.8973,57.9957,-101.893,2735.07211,1439.2306,276.07261,298.74707,167.88346,102.95019,4.05371,214.93261,399.56618,630.72072,117.95074,504.37891,95.87959,0.1698918287188111,0.0088344326557579,1.0238999365907029,1.900371010733096,0.0171899485739116,0.4737869635181209
2023-12-31,2709.70141,574.76239,174.75173,200.0867,413.00495,62.689,350.31595,3242.47439,1642.61768,336.31313,527.97857,182.9365,212.78609,3.64476,216.73969,443.98075,1043.2746000000002,121.50928,444.22837,136.14756,0.2121128135664216,0.0644911388963701,0.8356893791842718,1.9739677890231888,0.1063861251024645,0.4934061206262912
2024-12-31,3659.0635,765.60194,236.58126,245.02896,392.95499,72.97307,319.98192,4031.55289,1892.05119,336.61442,363.50271,585.20305,305.05001999999996,32.19462,172.75721,385.6518,1417.6129899999999,145.88579,625.09682,165.81252,0.2092343956315598,0.0646562323938898,0.907606473196982,2.130784257480898,0.1250395661863673,0.5306892302732509
2025-12-31,4572.86687,1018.05847,416.43389,479.0092,341.42377,127.69155,213.73222,5080.95967,2663.23269,269.14377,513.08666,920.45627,294.73546,134.056,229.21433,493.67221,1768.20783,152.39877,809.89452,192.72778,0.2226302446456308,0.0910662614588646,0.9000006233074469,1.9078166504482192,0.1563640652067844,0.4758406161487993
