证券代码,证券名称,同花顺行业大类,2026Q2基金净值权重(%),2025归母净利同比(%),2021-2025归母净利CAGR(%),2025加权ROE(%),2025基本EPS(元),2025每股税前分红(元),2025分红支付率(%),接口可见分红年份数
000651,格力电器,制造,4.08,-9.89,5.90,20.30,5.20,3.000,57.7,27
600642,申能股份,基建,3.65,1.75,27.14,10.79,0.81,0.460,57.1,33
600023,浙能电力,基建,3.64,-2.99,,10.10,0.56,0.330,58.9,11
600177,雅戈尔,消费,3.61,-11.57,-16.88,5.75,0.53,0.440,83.0,28
601088,中国神华,周期,3.06,-5.30,1.35,12.76,2.66,2.010,75.6,19
001286,陕西能源,基建,2.75,0.03,65.22,11.82,0.80,0.410,51.2,4
600350,山东高速,基建,2.73,0.30,1.23,8.20,0.55,0.420,77.1,24
000895,双汇发展,消费,2.71,2.32,1.20,24.10,1.47,1.450,98.4,26
600352,浙江龙盛,周期,2.70,-9.91,-14.19,5.30,0.56,0.300,53.6,23
601668,中国建筑,基建,2.62,-15.42,-6.70,8.15,0.94,0.272,28.9,17
