指数,发布日期,实际起始交易日,起点,结束日,终点,累计收益,精确年化收益,最大回撤,回撤高点,回撤低点
中证全指红利质量,2024-07-08,2024-07-08,5155.92000000,2026-07-31,6831.57000000,32.49953452%,14.62518441%,-19.49648621%,2026-01-29,2026-07-13
中证红利质量,2020-05-21,2020-05-21,34032.48000000,2026-07-31,53675.92000000,57.71968425%,7.63472490%,-29.19495690%,2021-06-07,2024-09-13
标普中国A股大盘红利低波50,2019-04-01,2019-04-01,4040.63000000,2026-07-31,7543.97000000,86.70281615%,8.88831130%,-18.86016203%,2019-04-17,2020-03-23
中证沪港深红利成长低波动,2019-04-25,2019-04-25,6187.08000000,2026-07-31,11815.81000000,90.97554905%,9.31205443%,-21.20571177%,2020-01-02,2020-03-19
