年度,上证红利,中证红利,上国红利,300红利,国企红利,央企红利,红利低波,红利低波100,300红利低波,上红低波,东证红利低波,A500红利低波,红利质量,中证红利质量,智选高股息,SHS红利成长LV,港股通高股息,港股通高息精选,SHS高股息,港股通央企红利,香港红利,红利潜力,消费红利,红利价值,高息策略,央企股东回报,诚通央企红利,央企红利50,国新港股通央企红利,中华预期高股息
2017,0.205211,0.213405,0.253062,0.348278,0.274837,0.197143,0.235678,0.154951,0.250044,0.230596,0.338715,0.260839,0.465258,0.515502,0.230226,0.305845,0.692589,0.259377,0.437197,0.134689,0.448459,0.665020,0.355303,0.174027,0.256075,0.111730,0.194400,0.115870,0.088320,
2018,-0.135871,-0.161524,-0.092651,-0.145800,-0.136715,-0.088037,-0.163949,-0.141170,-0.162304,-0.169642,-0.145386,-0.082638,-0.163952,-0.174774,-0.151126,-0.114239,-0.058568,-0.125481,-0.075784,-0.000435,-0.013390,-0.216951,-0.112179,-0.173139,-0.127341,-0.123681,-0.162366,-0.124710,0.016695,
2019,0.162664,0.208758,0.128745,0.260722,0.218132,0.113513,0.209396,0.168806,0.201332,0.162185,0.269200,0.161462,0.456621,0.374035,0.189025,0.128749,0.197996,0.196518,0.164873,0.064193,0.106033,0.462290,0.571261,0.204635,0.225218,0.171479,0.147351,0.158798,-0.037633,
2020,-0.010544,0.081848,-0.074226,0.082097,0.018124,-0.036858,0.019900,0.023385,-0.031146,0.030816,0.085765,-0.005683,0.432822,0.366678,0.052912,-0.043073,-0.145193,0.060672,-0.011199,-0.214375,-0.166184,0.367847,0.509468,0.005155,0.001929,0.093613,0.037930,0.093249,-0.193041,-0.163553
2021,0.132489,0.181915,0.158077,0.007571,0.161202,0.151823,0.163373,0.192711,0.101995,0.209039,0.191588,0.212277,0.089549,0.103775,0.149976,0.163692,-0.006531,0.104541,0.067618,0.225024,0.012434,-0.102994,0.139580,0.156945,0.049571,0.307059,0.305574,0.374429,0.251906,0.003090
2022,0.034581,-0.003674,0.147316,-0.021849,0.045489,-0.010656,0.034566,0.007745,-0.011041,0.063161,0.021033,0.010874,-0.119950,-0.054910,0.002385,0.032619,0.108214,-0.071073,-0.021845,0.059948,0.143902,-0.065860,-0.068440,0.043353,0.033586,-0.077750,-0.049373,-0.053779,0.176203,-0.093416
2023,0.090609,0.063410,0.176566,0.030397,0.083741,0.069145,0.122313,0.132615,0.153278,0.137523,0.133193,0.118013,-0.025234,-0.015668,0.275593,0.102000,0.106292,0.089847,0.048088,0.065507,0.182838,-0.038343,-0.132247,0.159963,0.074252,0.036343,0.096565,0.043202,0.187805,-0.053407
2024,0.212993,0.187572,0.205201,0.298258,0.194540,0.283515,0.248217,0.186362,0.291396,0.292749,0.349660,0.302714,0.075418,0.228417,0.197651,0.319381,0.366537,0.221404,0.256145,0.434132,0.436971,0.152445,-0.017421,0.199479,0.302401,0.226761,0.242320,0.225215,0.350209,0.256640
2025,0.004102,0.037626,-0.001661,0.066799,0.043777,0.106079,0.055749,0.039665,-0.009819,0.086443,0.036573,0.049817,0.111871,0.203645,0.127246,0.132704,0.191934,0.200547,0.167619,0.231479,0.236386,0.072398,0.047117,0.060646,0.040285,0.098030,0.107009,0.115613,0.164680,0.375559
