代码,公司,日期,市值_亿元,PE_TTM,定位
002003.SZ,伟星股份,2026-07-20,118.8889653,18.65390318,综合服饰辅料/钮扣拉链
002098.SZ,浔兴股份,2026-07-20,23.2342,12.62146329,SBS品牌/拉链
