date,year,quarter,PARENT_NETPROFIT_q,DEDUCT_PARENT_NETPROFIT_q,TOTAL_OPERATE_INCOME_q,non_gaap_ttm_yi,net_profit_ttm_yi,trade_date,adj_close,close
2019-03-31,2019,1,10.05701549,9.98068688,39.05926079,39.11096627,39.177466669999994,2019-03-29,119.43103790283203,134.3000030517578
2019-06-30,2019,2,13.6338901,13.30442027,42.996461,41.77396664,42.16636415,2019-06-28,146.12060546875,163.1999969482422
2019-09-30,2019,3,13.020912539999998,12.94776391,41.73887140999999,44.68505996,44.93779255,2019-09-30,165.15570068359375,184.4600067138672
2019-12-31,2019,4,10.09464937,9.916946539999998,41.76531994,46.149817600000006,46.8064675,2019-12-31,162.8636016845703,181.89999389648438
2020-03-31,2020,1,13.13277159,12.52861016,47.41266531,48.69774088,49.8822236,2020-03-31,233.8646240234375,261.20001220703125
2020-06-30,2020,2,21.40350967,21.13265645,58.231005020000005,56.52597706,57.65184317,2020-06-30,275.24810791015625,305.70001220703125
2020-09-30,2020,3,19.09527771,18.98693781,54.992916059999985,62.56515096,63.72620834,2020-09-30,314.1268005371094,348.8800048828125
2020-12-31,2020,4,12.94520165,12.748359879999995,49.62187750000001,65.3965643,66.57676062,2020-12-31,383.5646057128906,426.0
2021-03-31,2021,1,17.15036341,16.95726614,57.81049735,69.82522028,70.59435244,2021-03-31,359.3531799316406,399.1099853515625
2021-06-30,2021,2,26.29393304,26.136599409999995,69.97297898,74.82916323999999,75.48477581,2021-06-30,434.42449951171875,480.04998779296875
2021-09-30,2021,3,23.18453562,22.34808098,66.13164642,78.19030640999999,79.57403372,2021-09-30,348.7884521484375,385.4200134277344
2021-12-31,2021,4,13.38670399,13.06222581,58.780685430000005,78.50417234,80.01553606,2021-12-31,344.6075744628906,380.79998779296875
2022-03-31,2022,1,21.05071901,20.72184897,69.43108994,82.26875516999999,83.91589166,2022-03-31,278.0480041503906,307.25
2022-06-30,2022,2,31.82580387,31.74908759,84.12467084999999,87.88124335,89.44776249,2022-06-30,286.76519775390625,313.20001220703125
2022-09-30,2022,3,28.14681783999999,27.56585765,79.4025459,93.09902002,94.41004471,2022-09-30,273.763671875,299.0
2022-12-31,2022,4,15.048400220000005,15.214381070000002,70.69813142000001,95.25117528,96.07174094,2022-12-30,289.3013916015625,315.9700012207031
2023-03-31,2023,1,25.71117273,25.29128371,83.64281841,99.82061002,100.73219466,2023-03-31,285.4009094238281,311.7099914550781
2023-06-30,2023,2,38.70873576,38.11570281,101.11491655,106.18722524,107.61512655,2023-06-30,278.4443664550781,299.79998779296875
2023-09-30,2023,3,33.92313091,33.4523457,88.28024468000001,112.07371329,113.39143962,2023-09-28,250.5906219482422,269.80999755859375
2023-12-31,2023,4,17.47922145000001,17.478017350000002,76.28102919999998,114.33734957,115.82226085,2023-12-29,274.00213623046875,290.6000061035156
2024-03-31,2024,1,31.59898674,30.37009378,93.72811209,119.41615964,121.71007486000002,2024-03-29,265.3841247558594,281.4599914550781
2024-06-30,2024,2,44.00839069999999,43.42922254999999,111.5778559,124.72967938,127.0097298,2024-06-28,275.66729736328125,290.9100036621094
2024-09-30,2024,3,30.76337561000001,30.57012837000001,89.54208693999999,121.84746205,123.84997450000004,2024-09-30,282.3833312988281,293.0
2024-12-31,2024,4,10.314118589999993,10.050916130000005,72.40944055,114.42036083,116.68487164,2024-12-31,247.24588012695312,255.0
2025-03-31,2025,1,26.28580553,25.30581109,82.37179005,109.35607814,111.37169043,2025-03-31,226.8844451904297,234.0
2025-06-30,2025,2,24.40186545,24.18741994,85.05824849,90.11427553,91.76516518,2025-06-30,219.79415893554688,224.75
2025-09-30,2025,3,25.012774200000003,25.13358438000001,90.90902689,84.67773154000001,86.01456377,2025-09-30,241.62803649902344,245.69000244140625
2025-12-31,2025,4,5.657308909999998,6.058692669999999,74.48252860999997,80.68550808,81.35775409,2025-12-31,188.52076721191406,190.4499969482422
2026-03-31,2026,1,23.29658005,22.9647004,83.52015912,78.34439739000001,78.36852861,2026-03-31,162.9920196533203,164.66000366210938
