产品,收入_亿,占比,同比,毛利率
滴眼剂,19.502430176,78.87,42.76,85.12
凝胶剂/眼膏剂,3.6655368602,14.82,1.02,84.52
溶液剂,0.7001793176,2.83,13.17,
医疗服务,0.6609520478,2.67,-50.26,
其他,0.1994239663,0.81,1.33,
