阶段,起始日,结束日,起始前复权收盘,结束前复权收盘,累计收益(%),年化收益(%),最大回撤(%),回撤高点日,回撤低点日,持仓代理特征
上市以来,2019-01-18,2026-08-03,0.502,1.203,139.64,12.29,-16.57,2021-09-13,2021-11-10,全周期
基建主导,2019-01-18,2020-09-30,0.502,0.644,28.29,15.78,-16.07,2019-04-10,2020-03-23,前十大以基建为主
周期与基建轮动,2020-09-30,2024-06-28,0.644,1.059,64.44,14.21,-16.57,2021-09-13,2021-11-10,周期与基建交替主导
金融迁移,2024-06-28,2026-08-03,1.059,1.203,13.60,6.27,-14.16,2025-11-12,2026-06-30,核心持仓逐步转向银行
