区间,起始日期,结束日期,交易日数,ETF累计收益(%),全收益指数累计收益(%),累计收益差(百分点),ETF年化收益(%),全收益指数年化收益(%),年化跟踪差(百分点),年化跟踪误差(%)
上市以来,2020-02-26,2026-07-31,1561,105.0809,100.2758,4.8050,11.8258,11.4140,0.4118,0.5656
近5年,2021-07-30,2026-07-31,1212,79.1935,85.2408,-6.0473,12.3680,13.1161,-0.7481,0.4734
