区间,起始日期,结束日期,交易日数,ETF累计收益(%),全收益指数累计收益(%),累计收益差(百分点),ETF年化收益(%),全收益指数年化收益(%),年化跟踪差(百分点),年化跟踪误差(%)
上市以来,2019-12-20,2026-07-31,1602,85.1272,78.0921,7.0350,9.7620,9.1207,0.6412,0.8128
近5年,2021-07-30,2026-07-31,1212,43.7127,46.9130,-3.2003,7.5191,7.9935,-0.4744,0.7104
