区间,起始日期,结束日期,交易日数,ETF累计收益(%),全收益指数累计收益(%),累计收益差(百分点),ETF年化收益(%),全收益指数年化收益(%),年化跟踪差(百分点),年化跟踪误差(%)
上市以来,2020-07-03,2026-07-31,1475,96.7277,78.1793,18.5484,11.7814,9.9741,1.8073,1.6391
近5年,2021-07-30,2026-07-31,1212,62.4271,66.3105,-3.8834,10.1827,10.7044,-0.5217,0.4974
