date,close
20041231,1000.0
20050104,978.45
20050105,982.82
20050106,970.31
20050107,965.77
20050110,971.46
20050111,976.11
20050112,982.12
20050113,983.95
20050114,977.41
20050117,951.3
20050118,955.65
20050119,948.52
20050120,938.34
20050121,965.15
20050124,982.42
20050125,985.8
20050126,982.21
20050127,971.27
20050128,963.63
20050131,958.7
20050201,960.97
20050202,1008.53
20050203,997.17
20050204,1019.31
20050216,1026.89
20050217,1022.65
20050218,1009.8
20050221,1025.69
20050222,1046.89
20050223,1046.29
20050224,1046.87
20050225,1052.1
20050228,1046.89
20050301,1039.64
20050302,1025.88
20050303,1031.04
20050304,1030.26
20050307,1037.06
20050308,1062.08
20050309,1066.31
20050310,1041.49
20050311,1055.21
20050314,1076.71
20050315,1055.06
20050316,1038.79
20050317,1028.56
20050318,1010.76
20050321,1019.88
20050322,1014.7
20050323,1011.5
20050324,1010.02
20050325,1007.14
20050328,1008.09
20050329,1002.02
20050330,978.53
20050331,982.62
20050401,1022.99
20050404,1010.98
20050405,1003.33
20050406,1023.08
20050407,1027.58
20050408,1044.14
20050411,1033.6
20050412,1023.51
20050413,1045.83
20050414,1038.33
20050415,1029.02
20050418,1020.89
20050419,1015.73
20050420,1007.74
20050421,1016.34
20050422,1013.45
20050425,994.04
20050426,992.36
20050427,985.4
20050428,998.64
20050429,988.31
20050509,966.75
20050510,959.77
20050511,941.72
20050512,921.01
20050513,920.61
20050516,899.19
20050517,912.89
20050518,912.03
20050519,912.46
20050520,917.18
20050523,894.08
20050524,894.38
20050525,890.13
20050526,871.67
20050527,857.42
20050530,869.41
20050531,869.4
20050601,847.55
20050602,826.0
20050603,825.26
20050606,848.34
20050607,846.92
20050608,920.35
20050609,925.87
20050610,903.97
20050613,897.25
20050614,887.18
20050615,870.65
20050616,881.09
20050617,881.59
20050620,910.8
20050621,905.57
20050622,906.14
20050623,902.08
20050624,906.18
20050627,926.26
20050628,913.65
20050629,912.41
20050630,895.43
20050701,878.09
20050704,876.48
20050705,873.18
20050706,866.06
20050707,870.55
20050708,854.2
20050711,845.44
20050712,869.93
20050713,867.06
20050714,870.28
20050715,864.18
20050718,857.17
20050719,861.57
20050720,871.24
20050721,869.37
20050722,874.49
20050725,871.54
20050726,893.25
20050727,913.98
20050728,911.03
20050729,909.24
20050801,916.25
20050802,926.18
20050803,930.67
20050804,925.62
20050805,952.89
20050808,960.58
20050809,962.55
20050810,967.49
20050811,983.1
20050812,967.46
20050815,991.37
20050816,985.81
20050817,991.89
20050818,961.42
20050819,960.92
20050822,968.13
20050823,960.83
20050824,971.1
20050825,968.54
20050826,963.2
20050829,949.18
20050830,947.47
20050831,964.15
20050901,984.17
20050902,986.88
20050905,994.91
20050906,983.68
20050907,1006.7
20050908,1013.4
20050909,1010.45
20050912,1012.53
20050913,1029.87
20050914,1036.68
20050915,1039.71
20050916,1037.82
20050919,1041.54
20050920,1025.69
20050921,1005.05
20050922,987.82
20050923,986.28
20050926,991.43
20050927,979.02
20050928,975.79
20050929,988.63
20050930,994.71
20051010,984.28
20051011,998.1
20051012,1007.52
20051013,1006.04
20051014,997.12
20051017,992.54
20051018,999.84
20051019,986.64
20051020,989.25
20051021,996.23
20051024,1000.71
20051025,983.25
20051026,964.63
20051027,962.4
20051028,945.53
20051031,949.56
20051101,946.63
20051102,956.75
20051103,947.31
20051104,947.95
20051107,945.43
20051108,949.54
20051109,947.58
20051110,930.31
20051111,932.3
20051114,927.44
20051115,920.07
20051116,925.0
20051117,922.97
20051118,945.41
20051121,947.3
20051122,935.11
20051123,942.73
20051124,945.23
20051125,943.51
20051128,938.66
20051129,930.72
20051130,929.55
20051201,927.53
20051202,926.97
20051205,919.64
20051206,921.2
20051207,927.39
20051208,928.19
20051209,940.25
20051212,944.84
20051213,943.91
20051214,953.54
20051215,952.53
20051216,957.51
20051219,961.18
20051220,965.28
20051221,967.43
20051222,973.61
20051223,983.24
20051226,993.44
20051227,995.38
20051228,996.07
20051229,1020.65
20051230,1015.55
20060104,1028.0
20060105,1039.25
20060106,1057.92
20060109,1068.72
20060110,1074.46
20060111,1072.23
20060112,1085.46
20060113,1083.31
20060116,1068.81
20060117,1067.35
20060118,1088.37
20060119,1097.19
20060120,1109.09
20060123,1115.42
20060124,1119.03
20060125,1126.14
20060206,1161.76
20060207,1157.41
20060208,1150.44
20060209,1137.96
20060210,1150.52
20060213,1155.35
20060214,1169.66
20060215,1161.9
20060216,1134.28
20060217,1126.08
20060220,1127.56
20060221,1138.19
20060222,1145.35
20060223,1146.45
20060224,1158.7
20060227,1156.51
20060228,1164.35
20060301,1174.97
20060302,1162.66
20060303,1169.18
20060306,1165.4
20060307,1143.29
20060308,1138.29
20060309,1132.98
20060310,1142.61
20060313,1152.21
20060314,1154.77
20060315,1168.04
20060316,1166.78
20060317,1162.66
20060320,1178.02
20060321,1191.57
20060322,1212.97
20060323,1221.08
20060324,1212.73
