代码,名称,日期,股价,市值亿元,PE_TTM,PB
600436.SH,片仔癀,2026-06-09,116.96,705.6398,37.0934,4.6385
600085.SH,同仁堂,2026-06-09,24.5,336.0102,31.1598,2.3855
000538.SZ,云南白药,2026-06-09,49.42,881.7826,16.7762,2.0947
000999.SZ,华润三九,2026-06-09,24.25,403.5728,12.507,1.7361
600332.SH,白云山,2026-06-09,21.04,342.0664,11.613,0.8647
600535.SH,天士力,2026-06-09,14.05,209.9,18.0809,1.644
