年份,净利率%,总资产周转率,权益乘数,ROE估算%,ROE加权%
2020,1.2697,0.301,1.1437,0.4371,0.44
2021,11.443,0.3409,1.1419,4.4551,4.46
2022,19.2982,0.3332,1.1923,7.6673,7.68
2023,24.4075,0.3636,1.2298,10.9133,11.12
2024,25.2916,0.4664,1.2526,14.7749,14.6
2025,25.9495,0.5061,1.279,16.7988,16.66
