报告期,排名,证券代码,证券名称,同花顺行业大类,占基金净值比例(%),前十大持仓合计(%)
20200930,1,600028,中国石化,周期,4.05,21.34
20200930,2,601006,大秦铁路,基建,2.92,21.34
20200930,3,600019,宝钢股份,周期,2.22,21.34
20200930,4,601088,中国神华,周期,1.92,21.34
20200930,5,600023,浙能电力,基建,1.84,21.34
20200930,6,601328,交通银行,金融,1.76,21.34
20200930,7,601988,中国银行,金融,1.68,21.34
20200930,8,600398,海澜之家,消费,1.66,21.34
20200930,9,600971,恒源煤电,周期,1.65,21.34
20200930,10,601288,农业银行,金融,1.64,21.34
20201231,1,600028,中国石化,周期,3.82,21.67
20201231,2,601006,大秦铁路,基建,2.73,21.67
20201231,3,002110,三钢闽光,周期,2.33,21.67
20201231,4,601003,柳钢股份,周期,2.27,21.67
20201231,5,601328,交通银行,金融,1.94,21.67
20201231,6,600019,宝钢股份,周期,1.81,21.67
20201231,7,601988,中国银行,金融,1.78,21.67
20201231,8,600188,兖矿能源,周期,1.71,21.67
20201231,9,601288,农业银行,金融,1.67,21.67
20201231,10,600023,浙能电力,基建,1.61,21.67
20210331,1,600028,中国石化,周期,3.23,22.22
20210331,2,601006,大秦铁路,基建,2.82,22.22
20210331,3,002110,三钢闽光,周期,2.74,22.22
20210331,4,601328,交通银行,金融,2.25,22.22
20210331,5,000036,华联控股,基建,2.12,22.22
20210331,6,601003,柳钢股份,周期,1.93,22.22
20210331,7,601988,中国银行,金融,1.92,22.22
20210331,8,601288,农业银行,金融,1.81,22.22
20210331,9,600023,浙能电力,基建,1.70,22.22
20210331,10,600808,马钢股份,周期,1.70,22.22
20210630,1,601006,大秦铁路,基建,3.04,22.91
20210630,2,000036,华联控股,基建,2.84,22.91
20210630,3,603328,依顿电子,科技,2.66,22.91
20210630,4,600028,中国石化,周期,2.58,22.91
20210630,5,601328,交通银行,金融,2.35,22.91
20210630,6,601988,中国银行,金融,2.25,22.91
20210630,7,601169,北京银行,金融,1.89,22.91
20210630,8,601288,农业银行,金融,1.84,22.91
20210630,9,002110,三钢闽光,周期,1.78,22.91
20210630,10,600377,宁沪高速,基建,1.68,22.91
20210930,1,601006,大秦铁路,基建,3.45,21.73
20210930,2,600170,上海建工,基建,2.52,21.73
20210930,3,001979,招商蛇口,基建,2.16,21.73
20210930,4,601988,中国银行,金融,2.11,21.73
20210930,5,002233,塔牌集团,基建,1.99,21.73
20210930,6,600023,浙能电力,基建,1.99,21.73
20210930,7,601328,交通银行,金融,1.97,21.73
20210930,8,600028,中国石化,周期,1.92,21.73
20210930,9,600153,建发股份,基建,1.82,21.73
20210930,10,600479,千金药业,医疗,1.80,21.73
20211231,1,601006,大秦铁路,基建,3.12,19.45
20211231,2,600479,千金药业,医疗,2.24,19.45
20211231,3,601988,中国银行,金融,2.01,19.45
20211231,4,002146,荣盛发展,基建,1.86,19.45
20211231,5,600566,济川药业,医疗,1.80,19.45
20211231,6,601328,交通银行,金融,1.72,19.45
20211231,7,600016,民生银行,金融,1.70,19.45
20211231,8,600153,建发股份,基建,1.68,19.45
20211231,9,600377,宁沪高速,基建,1.67,19.45
20211231,10,601098,中南传媒,科技,1.65,19.45
20220331,1,601006,大秦铁路,基建,3.52,20.87
20220331,2,600056,中国医药,医疗,2.59,20.87
20220331,3,002146,荣盛发展,基建,2.21,20.87
20220331,4,601988,中国银行,金融,1.95,20.87
20220331,5,600606,绿地控股,基建,1.93,20.87
20220331,6,600377,宁沪高速,基建,1.82,20.87
20220331,7,601098,中南传媒,科技,1.74,20.87
20220331,8,600028,中国石化,周期,1.74,20.87
20220331,9,600177,雅戈尔,消费,1.69,20.87
20220331,10,600901,江苏金租,金融,1.68,20.87
20220630,1,601006,大秦铁路,基建,2.79,19.93
20220630,2,600377,宁沪高速,基建,2.19,19.93
20220630,3,600066,宇通客车,制造,2.18,19.93
20220630,4,000651,格力电器,制造,2.08,19.93
20220630,5,600028,中国石化,周期,1.98,19.93
20220630,6,600177,雅戈尔,消费,1.87,19.93
20220630,7,601988,中国银行,金融,1.76,19.93
20220630,8,600901,江苏金租,金融,1.72,19.93
20220630,9,600016,民生银行,金融,1.71,19.93
20220630,10,601288,农业银行,金融,1.65,19.93
20220930,1,601006,大秦铁路,基建,3.36,21.27
20220930,2,600028,中国石化,周期,2.44,21.27
20220930,3,600729,重百集团,消费,2.25,21.27
20220930,4,600398,海澜之家,消费,2.12,21.27
20220930,5,600177,雅戈尔,消费,2.06,21.27
20220930,6,002563,森马服饰,消费,1.90,21.27
20220930,7,601098,中南传媒,科技,1.84,21.27
20220930,8,600901,江苏金租,金融,1.78,21.27
20220930,9,000651,格力电器,制造,1.78,21.27
20220930,10,601000,唐山港,基建,1.74,21.27
20221231,1,600028,中国石化,周期,2.37,20.00
20221231,2,601006,大秦铁路,基建,2.26,20.00
20221231,3,603156,养元饮品,消费,2.21,20.00
20221231,4,002563,森马服饰,消费,2.12,20.00
20221231,5,600398,海澜之家,消费,2.04,20.00
20221231,6,002110,三钢闽光,周期,2.00,20.00
20221231,7,002233,塔牌集团,基建,1.83,20.00
20221231,8,000651,格力电器,制造,1.78,20.00
20221231,9,600177,雅戈尔,消费,1.73,20.00
20221231,10,000581,威孚高科,制造,1.66,20.00
20230331,1,600028,中国石化,周期,2.67,19.64
20230331,2,601006,大秦铁路,基建,2.31,19.64
20230331,3,000581,威孚高科,制造,2.20,19.64
20230331,4,002563,森马服饰,消费,1.88,19.64
20230331,5,603156,养元饮品,消费,1.88,19.64
20230331,6,002110,三钢闽光,周期,1.83,19.64
20230331,7,000651,格力电器,制造,1.77,19.64
20230331,8,600177,雅戈尔,消费,1.74,19.64
20230331,9,002233,塔牌集团,基建,1.72,19.64
20230331,10,600350,山东高速,基建,1.64,19.64
20230630,1,002110,三钢闽光,周期,2.85,20.52
20230630,2,601006,大秦铁路,基建,2.44,20.52
20230630,3,000895,双汇发展,消费,2.23,20.52
20230630,4,000789,万年青,基建,2.13,20.52
20230630,5,600177,雅戈尔,消费,2.00,20.52
20230630,6,600782,新钢股份,周期,1.96,20.52
20230630,7,000651,格力电器,制造,1.90,20.52
20230630,8,002563,森马服饰,消费,1.76,20.52
20230630,9,002233,塔牌集团,基建,1.64,20.52
20230630,10,600282,南钢股份,周期,1.61,20.52
20230930,1,600177,雅戈尔,消费,2.86,19.54
20230930,2,002030,达安基因,医疗,2.29,19.54
20230930,3,601006,大秦铁路,基建,2.18,19.54
20230930,4,600327,大东方,医疗,2.16,19.54
20230930,5,000895,双汇发展,消费,1.93,19.54
20230930,6,601088,中国神华,周期,1.84,19.54
20230930,7,600997,开滦股份,周期,1.64,19.54
20230930,8,600064,南京高科,基建,1.59,19.54
20230930,9,600282,南钢股份,周期,1.58,19.54
20230930,10,600782,新钢股份,周期,1.47,19.54
20231231,1,600177,雅戈尔,消费,2.82,18.52
20231231,2,000895,双汇发展,消费,2.22,18.52
20231231,3,601006,大秦铁路,基建,1.96,18.52
20231231,4,600273,嘉化能源,制造,1.94,18.52
20231231,5,600997,开滦股份,周期,1.77,18.52
20231231,6,600295,鄂尔多斯,周期,1.64,18.52
20231231,7,601088,中国神华,周期,1.62,18.52
20231231,8,600064,南京高科,基建,1.54,18.52
20231231,9,600282,南钢股份,周期,1.53,18.52
20231231,10,000825,太钢不锈,周期,1.48,18.52
20240331,1,600177,雅戈尔,消费,2.50,17.59
20240331,2,601006,大秦铁路,基建,1.90,17.59
20240331,3,000895,双汇发展,消费,1.74,17.59
20240331,4,600273,嘉化能源,制造,1.68,17.59
20240331,5,600585,海螺水泥,基建,1.67,17.59
20240331,6,600282,南钢股份,周期,1.65,17.59
20240331,7,000825,太钢不锈,周期,1.64,17.59
20240331,8,600782,新钢股份,周期,1.62,17.59
20240331,9,600064,南京高科,基建,1.62,17.59
20240331,10,600295,鄂尔多斯,周期,1.57,17.59
20240630,1,000895,双汇发展,消费,2.26,18.76
20240630,2,600177,雅戈尔,消费,2.16,18.76
20240630,3,600585,海螺水泥,基建,2.13,18.76
20240630,4,601006,大秦铁路,基建,2.10,18.76
20240630,5,600273,嘉化能源,制造,1.85,18.76
20240630,6,600064,南京高科,基建,1.83,18.76
20240630,7,600782,新钢股份,周期,1.64,18.76
20240630,8,002233,塔牌集团,基建,1.64,18.76
20240630,9,000825,太钢不锈,周期,1.58,18.76
20240630,10,600755,厦门国贸,消费,1.57,18.76
20240930,1,000937,冀中能源,周期,3.49,19.81
20240930,2,600177,雅戈尔,消费,2.09,19.81
20240930,3,600755,厦门国贸,消费,2.06,19.81
20240930,4,601006,大秦铁路,基建,2.04,19.81
20240930,5,600153,建发股份,基建,1.86,19.81
20240930,6,600273,嘉化能源,制造,1.71,19.81
20240930,7,600064,南京高科,基建,1.67,19.81
20240930,8,603156,养元饮品,消费,1.66,19.81
20240930,9,000895,双汇发展,消费,1.62,19.81
20240930,10,600039,四川路桥,基建,1.61,19.81
20241231,1,000937,冀中能源,周期,3.09,19.89
20241231,2,601006,大秦铁路,基建,2.47,19.89
20241231,3,600177,雅戈尔,消费,2.19,19.89
20241231,4,600755,厦门国贸,消费,1.94,19.89
20241231,5,603156,养元饮品,消费,1.83,19.89
20241231,6,000895,双汇发展,消费,1.81,19.89
20241231,7,600273,嘉化能源,制造,1.71,19.89
20241231,8,601568,北元化工,周期,1.70,19.89
20241231,9,600282,南钢股份,周期,1.58,19.89
20241231,10,000830,鲁西化工,周期,1.57,19.89
20250331,1,000937,冀中能源,周期,3.09,19.13
20250331,2,601006,大秦铁路,基建,2.19,19.13
20250331,3,600755,厦门国贸,消费,2.16,19.13
20250331,4,601568,北元化工,周期,1.90,19.13
20250331,5,603156,养元饮品,消费,1.73,19.13
20250331,6,600177,雅戈尔,消费,1.65,19.13
20250331,7,600273,嘉化能源,制造,1.62,19.13
20250331,8,000895,双汇发展,消费,1.61,19.13
20250331,9,600028,中国石化,周期,1.60,19.13
20250331,10,601225,陕西煤业,周期,1.58,19.13
20250630,1,000937,冀中能源,周期,2.86,19.93
20250630,2,000983,山西焦煤,周期,2.79,19.93
20250630,3,600755,厦门国贸,消费,2.07,19.93
20250630,4,601568,北元化工,周期,1.99,19.93
20250630,5,601006,大秦铁路,基建,1.99,19.93
20250630,6,600177,雅戈尔,消费,1.88,19.93
20250630,7,600028,中国石化,周期,1.75,19.93
20250630,8,000895,双汇发展,消费,1.59,19.93
20250630,9,601088,中国神华,周期,1.56,19.93
20250630,10,600273,嘉化能源,制造,1.45,19.93
20250930,1,000937,冀中能源,周期,3.00,18.16
20250930,2,603156,养元饮品,消费,2.16,18.16
20250930,3,600755,厦门国贸,消费,1.87,18.16
20250930,4,000895,双汇发展,消费,1.73,18.16
20250930,5,600177,雅戈尔,消费,1.71,18.16
20250930,6,002032,苏泊尔,制造,1.66,18.16
20250930,7,601006,大秦铁路,基建,1.60,18.16
20250930,8,601088,中国神华,周期,1.59,18.16
20250930,9,600028,中国石化,周期,1.45,18.16
20250930,10,600750,华润江中,医疗,1.39,18.16
20251231,1,000937,冀中能源,周期,2.55,17.70
20251231,2,601006,大秦铁路,基建,1.87,17.70
20251231,3,000895,双汇发展,消费,1.81,17.70
20251231,4,600755,厦门国贸,消费,1.78,17.70
20251231,5,600750,华润江中,医疗,1.74,17.70
20251231,6,002032,苏泊尔,制造,1.73,17.70
20251231,7,600177,雅戈尔,消费,1.71,17.70
20251231,8,600028,中国石化,周期,1.55,17.70
20251231,9,000651,格力电器,制造,1.49,17.70
20251231,10,002737,葵花药业,医疗,1.47,17.70
20260331,1,000937,冀中能源,周期,2.90,20.44
20260331,2,600177,雅戈尔,消费,2.38,20.44
20260331,3,600256,广汇能源,周期,2.38,20.44
20260331,4,601006,大秦铁路,基建,2.36,20.44
20260331,5,601919,中远海控,基建,1.92,20.44
20260331,6,000895,双汇发展,消费,1.91,20.44
20260331,7,000651,格力电器,制造,1.81,20.44
20260331,8,002032,苏泊尔,制造,1.77,20.44
20260331,9,600502,安徽建工,基建,1.52,20.44
20260331,10,600132,重庆啤酒,消费,1.49,20.44
20260630,1,600177,雅戈尔,消费,2.71,19.88
20260630,2,000937,冀中能源,周期,2.55,19.88
20260630,3,601006,大秦铁路,基建,2.39,19.88
20260630,4,000538,云南白药,医疗,2.12,19.88
20260630,5,000651,格力电器,制造,1.82,19.88
20260630,6,000895,双汇发展,消费,1.73,19.88
20260630,7,601668,中国建筑,基建,1.69,19.88
20260630,8,002032,苏泊尔,制造,1.68,19.88
20260630,9,601928,凤凰传媒,科技,1.63,19.88
20260630,10,600941,中国移动,科技,1.56,19.88
