SECURITY_CODE,SECUCODE,SECURITY_NAME_ABBR,ORG_CODE,TRADE_MARKET,BOARD_CODE,BOARD_NAME,ORIG_BOARD_CODE,TOTAL_MARKET_CAP,NOTLIMITED_MARKETCAP_A,CLOSE_PRICE,CHANGE_RATE,TOTAL_SHARES,FREE_SHARES_A,PE_TTM,PE_LAR,PB_MRQ,PCF_OCF_LAR,PCF_OCF_TTM,PS_TTM,PEG_CAR,TRADE_DATE
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,473571863033.55,392651613708.55,23.81,2.762192490289,19889620455,16491037955,11.53534036,10.51517337,1.57078701,4.97700377,4.57455699,1.96617881,-4.15557905,2018-01-02
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,463627052806.05,384406094731.05,23.31,-2.09995800084,19889620455,16491037955,11.29310305,10.29435914,1.53780114,4.87248878,4.47849321,1.92488988,-4.06831364,2018-01-03
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,459251336305.95,380778066380.95,23.09,-0.943800943801,19889620455,16491037955,11.18651864,10.19720089,1.52328736,4.82650219,4.43622515,1.90672276,-4.02991685,2018-01-04
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,470588419965.3,390177958015.3,23.66,2.468601126029,19889620455,16491037955,11.46266917,10.4489291,1.56089125,4.94564928,4.54573786,1.95379214,-4.12939943,2018-01-05
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,498831681011.4,413595231911.4,25.08,6.001690617075,19889620455,16491037955,12.15062311,11.0760415,1.65457111,5.24247185,4.81855898,2.07105269,-4.37723321,2018-01-08
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,493063691079.45,408812830904.45,24.79,-1.15629984051,19889620455,16491037955,12.01012547,10.94796925,1.63543931,5.18185315,4.76284199,2.04710512,-4.32661927,2018-01-09
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,495450445534.05,410791755459.05,24.91,0.484066155708,19889620455,16491037955,12.06826242,11.00096466,1.64335592,5.20693675,4.78589729,2.05701446,-4.34756296,2018-01-10
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,482919984647.4,400402401547.4,24.28,-2.529104777198,19889620455,16491037955,11.76304342,10.72273874,1.60179372,5.07524786,4.66485694,2.00499041,-4.23760854,2018-01-11
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,484511154283.8,401721684583.8,24.36,0.329489291598,19889620455,16491037955,11.80180139,10.75806902,1.60707146,5.09197026,4.68022714,2.01159664,-4.25157101,2018-01-12
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,467803873101.6,387869212701.6,23.52,-3.448275862069,19889620455,16491037955,11.39484272,10.38710112,1.55165521,4.91638508,4.51884,1.94223124,-4.10496511,2018-01-15
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,462035883169.65,383086811694.65,23.23,-1.232993197279,19889620455,16491037955,11.25434509,10.25902887,1.5325234,4.85576639,4.46312301,1.91828366,-4.05435117,2018-01-16
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,468002769306.15,388034123081.15,23.53,1.291433491175,19889620455,16491037955,11.39968747,10.3915174,1.55231492,4.91847538,4.52076127,1.94305701,-4.10671042,2018-01-17
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,467803873101.6,387869212701.6,23.52,-0.042498937527,19889620455,16491037955,11.39484272,10.38710112,1.55165521,4.91638508,4.51884,1.94223124,-4.10496511,2018-01-18
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,480533230192.8,398423476992.8,24.16,2.721088435374,19889620455,16491037955,11.70490647,10.66974333,1.59387712,5.05016427,4.64180163,1.99508106,-4.21666484,2018-01-19
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,486102323920.2,403040967620.2,24.44,1.158940397351,19889620455,16491037955,11.84055936,10.79339929,1.6123492,5.10869266,4.69559734,2.01820287,-4.26553347,2018-01-22
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,496643822761.35,411781217736.35,24.97,2.168576104746,19889620455,16491037955,12.0973309,11.02746237,1.64731422,5.21947855,4.79742495,2.06196913,-4.35803481,2018-01-23
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,493063691079.45,408812830904.45,24.79,-0.720865038046,19889620455,16491037955,12.01012547,10.94796925,1.63543931,5.18185315,4.76284199,2.04710512,-4.32661927,2018-01-24
601088,601088.SH,中国神华,10032705,069001001001,016138,煤炭开采,1250,500223954443.25,414749604568.25,25.15,1.452198467124,19889620455,16491037955,12.18453633,11.10695549,1.65918913,5.25710394,4.83200791,2.07683314,-4.38945036,2018-01-25
