代码,公司,日期,市值_亿元,PE_TTM,PB_MRQ,定位
601088.SH,中国神华,2026-07-20,10007.504987865601,19.40680084,2.08098635,煤电运化一体化
601225.SH,陕西煤业,2026-07-20,2423.75,14.98919359,2.37391182,优质动力煤
601898.SH,中煤能源,2026-07-20,1828.36968286,10.29658928,1.11477021,煤炭全产业链
600188.SH,兖矿能源,2026-07-20,2086.6615349579997,21.8417444,2.72810819,煤炭/煤化工
