年份,营收,净利润,扣非净利润,净资产收益率,简单ROE,销售净利率,净利率,销售毛利率,毛利率,总资产周转率,权益乘数,经营现金流,资本开支,自由现金流,资产负债率,应收账款,存货,合同负债,货币资金,交易性金融资产,长期借款,应付债券,现金头寸_近似
2020,2332.63,391.7,381.65,11.0,9.317882031379163,20.26,20.26,40.4,40.4,0.4176856045718133,1.3284951870296604,812.89,206.73,606.16,23.87,77.98,127.5,52.56,1274.57,0.0,502.51,32.41,739.65
2021,3356.4,500.84,500.36,13.64,11.505879406970747,17.71,17.71,33.04,33.04,0.576070520753059,1.3385015294383866,943.5,236.38,707.12,26.58,102.58,126.33,68.64,1628.86,0.0,491.93,31.72,1105.21
2022,3445.33,696.48,703.37,18.07,15.395735932889021,23.7,23.7,39.03,39.03,0.5608226781804716,1.357991533759961,1097.34,286.84,810.5,26.13,109.68,120.96,55.97,1705.03,0.0,384.38,34.53,1286.12
2023,3430.74,596.94,628.68,14.88,12.7321531979153,20.29,20.29,35.9,35.9,0.5480529148368896,1.3351697631090906,896.87,370.84,526.03,24.08,118.75,128.46,72.08,1499.86,0.0002490672,296.36,29.72,1173.7802490672
2024,3397.88,558.05,601.25,14.04,11.44700337943519,20.35,20.35,34.04,34.04,0.5234945341573759,1.3314184909975744,910.86,377.08,533.78,23.42,125.69,126.66,40.01,1438.45,173.02,316.82,0.0,1294.65
2025,2949.16,528.49,485.89,12.76,10.806505700871897,21.29,21.29,35.08,35.08,0.45519350076363096,1.3248014509823167,750.59,483.98,266.61,23.31,132.25,118.5,38.1,967.72,0.0,282.68,0.0,685.04
