业务,收入_亿元,同比_%,毛利率_%
智能家居,2999.27,11.28,29.9
楼宇科技,357.91,25.72,30.58
机器人与自动化,310.11,8.05,21.31
工业技术,272.32,10.24,17.5
其他创新业务,287.19,26.94,11.26
其他,337.72,1.96,15.53
