date,label,type,close,adj_close,net_profit,ttm
2020-12-31,2020-12,FY,81.9000015258789,78.36441802978516,5.23312,5.23312
2021-06-30,2021-06,H1,77.0,73.8581314086914,3.58798,7.408260000000001
2021-12-31,2021-12,FY,44.849998474121094,43.01995849609375,8.54567,8.54567
2022-06-30,2022-06,H1,37.900001525878906,36.559810638427734,3.32945,8.287139999999999
2022-12-31,2022-12,FY,19.81999969482422,19.119140625,4.75801,4.75801
2023-06-30,2023-06,H1,17.420000076293945,16.89577865600586,4.77242,6.2009799999999995
2023-12-31,2023-12,FY,20.25,19.64061737060547,10.88771,10.88771
2024-06-30,2024-06,H1,38.25,37.429931640625,9.64142,15.756710000000002
2024-12-31,2024-12,FY,90.0,88.07042694091797,33.08345,33.08345
2025-06-30,2025-06,H1,266.6000061035156,261.958251953125,46.81713,70.25916
2025-12-31,2025-12,FY,189.3000030517578,186.00411987304688,130.12042,130.12042
2026-09-16,"2026-09
(现价)",Latest,152.60000610351562,152.60000610351562,130.12042,130.12042
