代码,公司,最新价,总市值_亿,市盈率动态,市净率
300015,爱尔眼科,8.49,791.7261772830001,23.48583706,3.43556723
301267,华厦眼科,16.3,136.92,29.59517221,2.51599997
301239,普瑞眼科,33.1,49.523904888000004,-282.08063318,2.3442313
301103,何氏眼科,16.02,25.315840654200002,92.07971963,1.3181325
300595,欧普康视,11.08,99.1980348284,21.31297279,1.96031289
688050,爱博医疗,38.7,74.860403445,28.26106652,2.61394777
300573,兴齐眼药,37.06,132.4238348684,17.50770639,6.06029703
