year,revenue_yi,net_profit_yi,non_gaap_yi,cost_yi,gross_margin,net_margin,sales_expense_yi,admin_expense_yi,rd_expense_yi,rd_ratio,total_assets_yi,equity_yi,debt_yi,asset_liability_ratio,asset_turnover,equity_multiplier,roe_simple,money_yi,trading_assets_yi,other_current_assets_yi,short_borrow_yi,one_year_noncurrent_liab_yi,long_borrow_yi,bonds_yi,lease_liab_yi,ar_yi,notes_receivable_yi,finance_receivable_yi,inventory_yi,contract_liab_yi,cfo_yi,capex_yi,fcf_yi,dividend_cash_yi,cfo_net_ratio,fcf_net_ratio,capex_cfo_ratio
2020,6.89,0.879786,0.8513379999999998,1.85,73.14949201741653,12.769027576197386,2.44,0.77126,0.631935,9.171770682148042,9.66,6.82,2.72,28.157349896480333,0.7132505175983437,1.4164222873900292,12.900087976539588,0.372188,,0.1019,0.8,,,,,1.12,,,0.683096,0.051073,1.22,1.08,0.1399999999999999,0.161962,138.6700856799267,15.912960651794858,88.52459016393443
2021,10.28,1.95,1.85,2.25,78.11284046692607,18.968871595330743,3.38,1.18,0.884466,8.603754863813231,16.87,13.44,3.42,20.27267338470658,0.6093657379964433,1.2552083333333335,14.508928571428573,6.86,,0.061479,1.0,0.041785,,,,1.08,0.189442,,0.92331,0.061074,3.07,0.950551,2.119449,0.471295,157.43589743589743,108.6896923076923,30.962573289902284
2022,12.5,2.12,2.08,2.66,78.72,16.96,4.63,1.32,1.46,11.68,17.83,15.52,2.31,12.955692652832306,0.7010656197420079,1.148840206185567,13.659793814432991,5.15,,0.09398,,0.071158,,,,1.24,0.242098,,1.22,0.020053,2.86,2.99,-0.13000000000000034,0.808427,134.90566037735846,-6.132075471698128,104.54545454545456
2023,14.68,2.4,2.4,3.32,77.3841961852861,16.348773841961854,5.35,1.54,1.67,11.376021798365123,20.24,16.9,3.34,16.50197628458498,0.7252964426877471,1.1976331360946746,14.201183431952662,4.8,,0.009761,0.700583,0.068655,,,,1.78,0.257891,,1.36,0.065484,3.18,2.62,0.56,1.78,132.50000000000003,23.333333333333336,82.38993710691824
2024,19.43,3.38,3.48,4.21,78.33247555326814,17.395779722079258,7.05,1.7,2.21,11.37416366443644,21.28,15.93,5.34,25.09398496240601,0.9130639097744361,1.3358443188951665,21.217827997489014,3.7,,0.004718,2.0,0.062795,,,,2.42,0.202222,,1.54,0.032178,4.17,1.99,2.1799999999999997,4.67,123.37278106508876,64.49704142011834,47.72182254196643
2025,24.73,6.96,6.97,4.66,81.15649009300445,28.143954710877477,7.64,1.75,2.26,9.138697937727455,25.39,19.78,5.61,22.095313115399765,0.9740055139818826,1.2836198179979776,35.18705763397371,3.94,,0.045583,0.70051,0.075999,,,,2.63,0.302942,,1.89,0.017852,7.53,2.71,4.82,3.51,108.1896551724138,69.2528735632184,35.98937583001327
