常用指标,每股现金流,0.84587,3.057218,2.341645,1.245368,1.087718,2.37937,2.039077,1.070599,0.669704,2.548922,1.822405,1.173092,0.658775,3.232604,2.934129,1.527132,1.172755,3.484339,2.273505,0.965946,0.574555,1.483126,0.804632,0.188368,0.027964,0.898717,0.716433,0.46557,0.152972,0.533893,0.518117,0.464418,0.109599,0.408715,0.196009,0.087592,0.171974,0.35153,0.550844,0.413982,,0.357212,,0.216637,0.139974,0.699365,0.408986
常用指标,净资产收益率(ROE),9.92,38.55,32.91,19.16,8.75,20.59,16.03,9.68,2.03,14.77,11.19,5.61,1.24,14.86,14.18,8.71,5.37,25.54,20.91,11.1,4.75,14.49,9.08,2.71,-1.89,6.45,5.16,1.05,0.19,2.5,2.4,-0.34,-0.47,7.36,7.77,5.36,1.62,13.02,11.0,7.9,1.9,5.8,,8.8,14.69,16.26,22.47
常用指标,总资产报酬率(ROA),8.721831,34.48797,30.462189,17.634149,8.093215,19.306043,16.245015,9.86655,2.037992,13.99769,10.996493,5.110132,1.220079,13.525652,13.781309,8.245091,5.116976,18.814609,18.392362,9.960162,4.278156,11.933352,7.429271,2.078837,-1.221633,5.160449,4.346848,0.848907,0.290982,2.056361,2.25854,-0.238099,-0.365127,6.988118,7.402967,5.154121,1.588367,10.46863,9.182425,6.526589,,5.789892,,7.854462,11.37003,15.211448,16.082373
常用指标,毛利率,82.052158,81.156896,81.327668,80.674606,80.155368,78.331009,78.382728,78.164054,76.102085,77.373433,77.581011,76.356393,75.968541,78.743753,80.126544,79.830983,80.2069,78.087103,78.43062,77.158874,76.959506,73.132856,72.174104,69.963698,68.205688,73.259613,73.439546,72.375492,73.929101,72.319679,71.31141,69.428019,68.076275,73.90558,75.053046,75.632842,78.409834,75.197166,74.91381,73.204543,70.310247,70.396546,70.396546,75.434952,86.309374,87.969549,89.190589
常用指标,销售净利率,30.206785,28.139796,31.459648,28.796224,27.212133,17.395486,20.201786,18.986385,9.931787,16.356021,16.502627,12.802098,6.75227,16.936704,20.197508,20.086321,24.562465,20.342912,21.970972,19.028523,18.119359,13.570877,11.731434,5.911783,-14.463077,5.440432,5.873954,1.163605,-0.089551,2.089103,3.080694,-1.677646,-3.495434,10.67698,14.884567,15.692952,9.833902,16.006875,17.482854,19.37085,9.519653,7.646696,7.646696,12.177436,21.084464,20.58302,18.703193
常用指标,期间费用率,47.575448,47.260281,43.779888,46.355317,47.263364,56.469042,53.946792,54.690842,64.475645,57.978378,57.897724,60.851411,66.625355,58.639464,54.535477,53.593928,49.873572,53.614963,52.362032,53.596446,55.918945,56.742942,57.596054,63.003465,82.06682,64.613969,64.76756,68.6943,71.461644,67.50376,64.934825,68.937387,69.371792,59.325138,55.296719,54.497874,63.762619,57.669531,56.105729,52.199564,57.10509,60.490639,60.490639,65.449256,61.470332,62.563115,65.578865
常用指标,资产负债率,20.510426,22.092775,23.235621,22.457372,24.095989,25.120519,25.529081,27.782371,18.216865,16.499481,16.872187,15.656978,13.668339,12.93558,15.236856,13.393539,15.442822,20.295373,26.458882,28.340487,29.986201,28.12899,32.248922,31.309367,28.579414,32.552241,31.497214,31.280921,21.505382,21.721697,20.712242,20.954251,17.363085,18.196245,18.018843,17.84935,20.496481,27.788259,32.552127,34.557955,,40.118783,,45.176513,40.621207,30.457061,7.795365
每股指标,基本每股收益,0.84,2.83,2.44,1.36,0.59,1.38,1.19,0.69,0.2,1.38,1.05,0.51,0.16,1.72,2.3,1.37,0.84,2.39,1.9,0.99,0.4,1.09,0.65,0.19,-0.13,0.45,0.35,0.07,0.01,0.17,0.17,-0.02,-0.03,0.49,0.52,0.36,0.11,0.9,0.76,0.53,0.12,0.37,0.37,0.52,0.77,0.73,0.59
每股指标,稀释每股收益,0.84,2.83,2.44,1.36,0.59,1.38,1.19,0.69,0.2,1.38,1.05,0.51,0.16,1.72,2.3,1.37,0.84,2.38,1.9,0.99,0.4,1.08,0.65,0.19,-0.13,0.45,0.35,0.07,0.01,0.17,0.17,-0.02,-0.03,0.49,0.52,0.36,0.11,0.9,0.76,0.53,0.12,0.37,0.37,0.52,0.77,0.73,0.59
每股指标,摊薄每股收益_最新股数,0.577668,1.947414,1.676093,0.93704,0.408301,0.946096,0.813725,0.473858,0.097248,0.671762,0.510271,0.245589,0.05415,0.592417,0.56766,0.337602,0.207567,0.544892,0.436788,0.224274,0.09293,0.246216,0.150381,0.042859,-0.029202,0.100452,0.079901,0.016023,0.002973,0.038224,0.036932,-0.005267,-0.007161,0.110368,0.117144,0.080273,0.023859,0.151905,0.126992,0.089674,0.020938,0.061511,0.061511,0.086784,0.129007,0.122307,0.099732
