date,quarter,trade_date,adj_close,close,net_profit_yi,non_gaap_yi,revenue_yi,non_gaap_ttm_yi,net_profit_ttm_yi
2015-03-31,2015Q1,2015-03-31,11.164679527282715,16.729999542236328,5.793676,5.920848,32.23767646,22.942697,23.268331999999997
2015-06-30,2015Q2,2015-06-30,9.940444946289062,14.279999732971191,6.361396,6.291813,33.67557816,23.607287000000003,23.873652999999997
2015-09-30,2015Q3,2015-09-30,8.2489013671875,11.850000381469727,6.332607,6.279147,31.03963068,24.815080000000002,24.920623999999997
2015-12-31,2015Q4,2015-12-31,10.573905944824219,15.1899995803833,7.566117,7.61391,38.78206525,26.105718,26.053796
2016-03-31,2016Q1,2016-03-31,10.365073204040527,14.890000343322754,5.830713,5.809943,35.67039473,25.994813,26.090833
2016-06-30,2016Q2,2016-06-30,10.266500473022461,14.0,8.737383,8.592103,40.17385483,28.295102999999997,28.46682
2016-09-30,2016Q3,2016-09-30,12.385799407958984,16.889999389648438,7.185933,6.910339,40.06127458,28.926294999999996,29.320145999999998
2016-12-31,2016Q4,2016-12-30,13.661778450012207,18.6299991607666,9.688244,9.379486,50.30783859,30.691871,31.442273
2017-03-31,2017Q1,2017-03-31,16.580402374267578,22.610000610351562,6.928791,6.852376,41.97598309,31.734303999999998,32.540350999999994
2017-06-30,2017Q2,2017-06-30,19.737062454223633,26.040000915527344,6.933078,6.626991,45.16364316,29.769192,30.736045999999998
2017-09-30,2017Q3,2017-09-29,19.320188522338867,25.489999771118164,7.573631,7.370888,46.83004069,30.229741,31.123743999999995
2017-12-31,2017Q4,2017-12-29,21.9805965423584,29.0,10.051981,9.45233,53.1606828,30.302585,31.487481
2018-03-31,2018Q1,2018-03-30,18.77446174621582,24.770000457763672,5.626179,5.948571,47.47842101,29.398780000000002,30.184869
2018-06-30,2018Q2,2018-06-29,20.0803279876709,25.709999084472656,13.060027,12.348469,53.37332453,35.120258,36.311817999999995
2018-09-30,2018Q3,2018-09-28,19.877260208129883,25.450000762939453,13.934722,9.850696,50.37262371,37.600066,42.672909
2018-12-31,2018Q4,2018-12-28,18.090675354003906,22.780000686645508,8.583945,6.530144,51.02548795,34.67788,41.204873
2019-03-31,2019Q1,2019-03-29,19.321609497070312,24.329999923706055,6.060469,5.162376,49.33498402,33.891684999999995,41.639162999999996
2019-06-30,2019Q2,2019-06-28,18.66300392150879,22.729999542236328,8.995255,8.240128,53.5386426,29.783344,37.574391000000006
2019-09-30,2019Q3,2019-09-30,17.63666343688965,21.479999542236328,8.40959,7.85291,53.46311632,27.785558,32.049259
2019-12-31,2019Q4,2019-12-31,19.697561264038086,23.989999771118164,5.519018,6.773657,54.70203229,28.029071000000002,28.984332000000002
2020-03-31,2020Q1,2020-03-31,15.748193740844727,19.18000030517578,4.599564,3.801857,41.7049765,26.668552,27.523426999999998
2020-06-30,2020Q2,2020-06-30,17.135807037353516,20.8700008392334,5.040103,4.119206,39.5076949,22.547629999999998,23.568275
2020-09-30,2020Q3,2020-09-30,27.38451385498047,32.38999938964844,7.589372,7.178204,56.55088473,21.872924,22.748057
2020-12-31,2020Q4,2020-12-31,40.624454498291016,48.04999923706055,8.778725,7.940636,61.30237855,23.039903,26.007764
2021-03-31,2021Q1,2021-03-31,38.958892822265625,46.08000183105469,8.552543,8.129653,57.05966779,27.367698999999998,29.960743
