年份,营收,净利润,扣非净利润,净资产收益率,销售净利率,总资产周转率,权益乘数,经营现金流,资本开支,自由现金流,资产负债率,应收账款,存货,合同负债,现金头寸_近似
2020,2857.09729,272.22969,246.14653,24.95,9.68,0.8627308700692409,2.85819222525981,295.57117,46.56582,249.00535,65.53,229.78363,310.76529,184.00922,666.23
2021,3433.60825,285.7365,259.29086,24.09,8.5,0.917673802402986,2.888606583000368,350.91704,68.25357,282.66346999999996,65.25,246.3644,459.24439,239.16595,564.87
2022,3457.08706,295.53507,286.07973,22.21,8.67,0.8530737105933902,2.826519764098258,346.57828,73.52115,273.05713000000003,64.05,282.37973,460.44897,279.60038,31.98
2023,3737.09804,337.19935,329.74908,22.23,9.07,0.8226117051332346,2.785187417442898,579.02611,63.14051,515.8856000000001,64.14,328.84739,473.39255,417.65475,320.6
2024,4090.84266,385.37237,357.41418,21.29,9.52,0.750344834634618,2.7126354364775778,605.11572,78.39636,526.71936,62.33,357.98974,633.39188,492.54717,1317.63
2025,4585.02407,439.45411,412.67233,19.7,9.75,0.7558913879923727,2.6140175396489718,533.4593,111.41889,422.04040999999995,61.17,404.50097,646.28834,469.9306,682.03
