date,quarter,adj_close,close,net_profit_yi,non_gaap_yi,net_profit_ttm_yi,non_gaap_ttm_yi
2015-03-31,2015Q1,14.470319747924805,21.966665267944336,33.42135,30.19956,113.0550589,96.07269830000001
2015-06-30,2015Q2,16.821041107177734,24.85333251953125,49.819880000000005,44.13081,122.1621024,102.4224043
2015-09-30,2015Q3,11.383983612060547,16.81999969482422,26.879800000000003,19.425478499999997,125.6136673,102.2401073
2015-12-31,2015Q4,14.808652877807617,21.8799991607666,16.946219999999997,15.357561500000003,127.06725,109.11341
2016-03-31,2016Q1,13.919775009155273,20.566665649414062,39.07252,37.45392,132.71842,116.36777
2016-06-30,2016Q2,16.659992218017578,23.719999313354492,55.89241,53.54852000000001,138.79095,125.78548
2016-09-30,2016Q3,18.97075653076172,27.010000228881836,33.114999999999995,31.316459999999992,145.02614999999997,137.67646150000002
2016-12-31,2016Q4,19.78549575805664,28.170000076293945,18.76364000000001,12.609760000000009,146.84357,134.92866
2017-03-31,2017Q1,23.38860321044922,33.29999923706055,43.52587,42.63125,151.29692,140.10599000000002
2017-06-30,2017Q2,31.110925674438477,43.040000915527344,64.58735,56.28641,159.99186,142.84388
2017-09-30,2017Q3,31.942184448242188,44.189998626708984,41.86853000000001,40.78171999999999,168.74539000000001,152.30914
2017-12-31,2017Q4,40.06687545776367,55.43000030517578,22.855140000000006,16.44165000000001,172.83689,156.14103
2018-03-31,2018Q1,39.416324615478516,54.529998779296875,52.56231,50.77715,181.87333,164.28692999999998
2018-06-30,2018Q2,38.617652893066406,52.220001220703125,76.80615,74.22538,194.09213,182.2259
2018-09-30,2018Q3,29.80258560180664,40.29999923706055,49.63392999999999,47.517970000000005,201.85753,188.96215
2018-12-31,2018Q4,27.25864601135254,36.86000061035156,23.30540000000002,28.061049999999994,202.30779,200.58155
2019-03-31,2019Q1,36.03672790527344,48.72999954223633,61.29026,60.84881,211.03574000000003,210.65321
2019-06-30,2019Q2,39.37042999267578,51.86000061035156,90.58042999999999,84.70792999999999,224.81002,221.13576
2019-09-30,2019Q3,38.793460845947266,51.099998474121094,61.28898000000001,60.422740000000005,236.46507000000003,234.04053
2019-12-31,2019Q4,44.22150802612305,58.25,28.952550000000002,21.264440000000008,242.11221999999998,227.24392
2020-03-31,2020Q1,36.79684829711914,48.470001220703125,48.10977,48.16912,228.93173000000002,214.56423
2020-06-30,2020Q2,46.642181396484375,59.810001373291016,91.17318,86.40132,229.52448000000004,216.25762000000003
2020-09-30,2020Q3,56.65531539916992,72.6500015258789,80.90006,71.58544,249.13556,227.42032
2020-12-31,2020Q4,76.7673568725586,98.44000244140625,52.04668000000001,39.99065000000002,272.22969,246.14653000000004
2021-03-31,2021Q1,64.12617492675781,82.2300033569336,64.68588,66.49368,288.8058,264.47109
2021-06-30,2021Q2,56.79093933105469,71.37000274658203,85.40458000000001,79.87142999999999,283.0372,257.9412
2021-09-30,2021Q3,55.382503509521484,69.5999984741211,84.46204,79.28026000000003,286.59918,265.63602000000003
2021-12-31,2021Q4,58.73250961303711,73.80999755859375,51.18399999999997,33.645489999999995,285.7365,259.29086
2022-03-31,2022Q1,45.35637283325195,57.0,71.77925,69.93023,292.82987,262.72741
2022-06-30,2022Q2,49.60867691040039,60.38999938964844,88.17571,86.98489000000001,295.601,269.84087
2022-09-30,2022Q3,40.506771087646484,49.310001373291016,84.74425,83.74107000000001,295.88320999999996,274.30168000000003
2022-12-31,2022Q4,42.55223846435547,51.79999923706055,50.835860000000025,45.423539999999974,295.53507,286.07973
2023-03-31,2023Q1,44.20339584350586,53.810001373291016,80.41853,76.72681,304.17435,292.87631
2023-06-30,2023Q2,50.879150390625,58.91999816894531,101.90438,99.79172,317.90302,305.68314
2023-09-30,2023Q3,47.90861129760742,55.47999954223633,94.85189999999997,91.88736,328.01067,313.82943
2023-12-31,2023Q4,47.17461013793945,54.630001068115234,60.02454,61.34318999999999,337.19935,329.74907999999994
2024-03-31,2024Q1,55.45586013793945,64.22000122070312,90.00007,92.36971,346.78089,345.39198
2024-06-30,2024Q2,58.16069793701172,64.5,118.04169000000002,109.43907000000002,362.9182,355.03933
2024-09-30,2024Q3,68.58452606201172,76.05999755859375,108.94937999999996,101.95857999999998,377.01568,365.11055
2024-12-31,2024Q4,67.82709503173828,75.22000122070312,68.38123000000002,53.64681999999999,385.37237,357.41418
2025-03-31,2025Q1,70.78472137451172,78.5,124.22233,127.49867,419.59463,392.54314
2025-06-30,2025Q2,68.26911926269531,72.19999694824219,135.91457000000003,134.85532,437.46751,417.95939
2025-09-30,2025Q3,68.7040786743164,72.66000366210938,118.69692999999995,109.04681,447.21506,425.04762
2025-12-31,2025Q4,74.36935424804688,78.1500015258789,60.62028000000004,41.271529999999984,439.45411,412.67233
2026-03-31,2026Q1,72.65643310546875,76.3499984741211,126.74556,109.61722,441.97734,394.79088
