报告期,同花顺行业大类,前十大中占比(%),占基金净值比例(%),前十大持仓合计(%)
20200331,周期,56.78,18.12,31.91
20200331,基建,17.17,5.48,31.91
20200331,消费,16.90,5.39,31.91
20200331,制造,9.15,2.92,31.91
20200630,周期,55.26,16.91,30.60
20200630,基建,27.78,8.50,30.60
20200630,消费,8.82,2.70,30.60
20200630,制造,8.14,2.49,30.60
20200930,周期,47.49,16.30,34.32
20200930,基建,44.93,15.42,34.32
20200930,消费,7.58,2.60,34.32
20201231,周期,48.33,17.19,35.57
20201231,基建,35.09,12.48,35.57
20201231,制造,9.36,3.33,35.57
20201231,消费,7.22,2.57,35.57
20210331,基建,68.35,22.55,32.99
20210331,周期,31.65,10.44,32.99
20210630,基建,67.80,21.96,32.39
20210630,周期,32.20,10.43,32.39
20210930,基建,66.43,22.56,33.96
20210930,周期,15.67,5.32,33.96
20210930,消费,10.01,3.40,33.96
20210930,制造,7.89,2.68,33.96
20211231,基建,67.04,25.24,37.65
20211231,周期,15.14,5.70,37.65
20211231,消费,10.52,3.96,37.65
20211231,制造,7.30,2.75,37.65
20220331,基建,66.19,22.20,33.54
20220331,消费,11.72,3.93,33.54
20220331,周期,11.27,3.78,33.54
20220331,制造,10.82,3.63,33.54
20220630,基建,57.24,18.97,33.14
20220630,制造,19.64,6.51,33.14
20220630,消费,11.98,3.97,33.14
20220630,周期,11.14,3.69,33.14
20220930,基建,59.01,20.86,35.35
20220930,周期,15.47,5.47,35.35
20220930,制造,14.09,4.98,35.35
20220930,消费,11.43,4.04,35.35
20221231,基建,52.05,18.12,34.81
20221231,制造,21.23,7.39,34.81
20221231,周期,15.48,5.39,34.81
20221231,消费,11.24,3.91,34.81
20230331,科技,29.86,10.82,36.23
20230331,周期,22.96,8.32,36.23
20230331,消费,19.90,7.21,36.23
20230331,制造,18.58,6.73,36.23
20230331,基建,8.70,3.15,36.23
20230630,周期,24.94,9.38,37.61
20230630,科技,24.06,9.05,37.61
20230630,消费,18.82,7.08,37.61
20230630,制造,17.10,6.43,37.61
20230630,基建,15.08,5.67,37.61
20230930,消费,45.22,14.49,32.04
20230930,周期,35.49,11.37,32.04
20230930,基建,10.67,3.42,32.04
20230930,制造,8.62,2.76,32.04
20231231,消费,37.01,11.59,31.32
20231231,周期,34.80,10.90,31.32
20231231,基建,19.89,6.23,31.32
20231231,制造,8.30,2.60,31.32
20240331,周期,31.27,9.21,29.45
20240331,基建,28.32,8.34,29.45
20240331,消费,22.95,6.76,29.45
20240331,制造,17.46,5.14,29.45
20240630,基建,38.31,11.16,29.13
20240630,周期,31.75,9.25,29.13
20240630,消费,20.87,6.08,29.13
20240630,制造,9.07,2.64,29.13
20240930,消费,41.60,13.34,32.07
20240930,基建,26.47,8.49,32.07
20240930,制造,16.71,5.36,32.07
20240930,周期,15.22,4.88,32.07
20241231,消费,40.47,12.80,31.63
20241231,基建,34.02,10.76,31.63
20241231,周期,17.39,5.50,31.63
20241231,制造,8.12,2.57,31.63
20250331,消费,33.32,9.59,28.78
20250331,周期,27.87,8.02,28.78
20250331,制造,17.79,5.12,28.78
20250331,基建,12.51,3.60,28.78
20250331,金融,8.51,2.45,28.78
20250630,金融,36.32,10.24,28.19
20250630,周期,28.31,7.98,28.19
20250630,消费,22.63,6.38,28.19
20250630,基建,12.74,3.59,28.19
20250930,消费,44.02,13.85,31.46
20250930,周期,27.46,8.64,31.46
20250930,基建,18.72,5.89,31.46
20250930,制造,9.80,3.08,31.46
20251231,消费,42.89,13.31,31.03
20251231,周期,36.93,11.46,31.03
20251231,基建,10.34,3.21,31.03
20251231,制造,9.84,3.05,31.03
20260331,基建,39.18,12.10,30.88
20260331,消费,29.66,9.16,30.88
20260331,周期,19.18,5.92,30.88
20260331,制造,11.98,3.70,30.88
20260630,基建,48.78,15.39,31.55
20260630,消费,20.03,6.32,31.55
20260630,周期,18.26,5.76,31.55
20260630,制造,12.93,4.08,31.55
