date,quarter,adj_close,close,net_profit_yi,non_gaap_yi,net_profit_ttm_yi,non_gaap_ttm_yi
2015-03-31,2015Q1,17.772897720336914,23.18000030517578,22.0079953517,21.96245543,54.16574399939999,54.427437347899996
2015-06-30,2015Q2,24.79599952697754,31.700000762939453,10.967283104200003,10.931774445800002,51.306299732599996,51.5630066815
2015-09-30,2015Q3,20.12621307373047,25.729999542236328,13.054919681999998,13.007941422899997,57.30646701129999,57.584624316299994
2015-12-31,2015Q4,21.33863639831543,27.280000686645508,15.7309944239,15.737857175000002,61.7611925618,61.6400284737
2016-03-31,2016Q1,21.98786735534668,28.110000610351562,29.0311218715,28.9697131534,68.7843190816,68.6472861971
2016-06-30,2016Q2,25.44523048400879,32.529998779296875,9.837009481299997,9.8632496078,67.6540454587,67.5787613591
2016-09-30,2016Q3,26.70646858215332,33.36000061035156,12.145000423900001,11.719485033199994,66.7441262006,66.2903049694
2016-12-31,2016Q4,27.60308837890625,34.47999954223633,16.8322008269,16.689971146399998,67.8453326036,67.2424189408
2017-03-31,2017Q1,34.42380905151367,43.0,35.9311244079,35.8866807175,74.74533514,74.1593865049
2017-06-30,2017Q2,45.482208251953125,55.65999984741211,13.783931133400003,13.706599023400003,78.6922567921,78.00273592049999
2017-09-30,2017Q3,46.80598068237305,57.279998779296875,19.932576888499995,19.9054894377,86.4798332567,86.188740325
2017-12-31,2017Q4,65.27342224121094,79.87999725341797,27.089582551700005,26.924481599499998,96.7372149815,96.4232507781
2018-03-31,2018Q1,54.225650787353516,66.36000061035156,49.710131180299996,49.6014316087,110.5162217539,110.1380016693
2018-06-30,2018Q2,62.1029052734375,76.0,21.392424759600004,21.265199111599998,118.1247153801,117.69660175749999
2018-09-30,2018Q3,56.56319046020508,67.94999694824219,23.8416089583,23.581336137899996,122.0337474499,121.37244845769999
2018-12-31,2018Q4,42.353729248046875,50.880001068115234,38.8983019378,39.5404700408,133.842466836,133.988436899
2019-03-31,2019Q1,79.08026123046875,95.0,64.7511330333,65.4003704557,148.88346868899998,149.787375746
2019-06-30,2019Q2,99.89895629882812,117.94999694824219,28.605240759300003,28.543112166900002,156.0962846887,157.0652888013
2019-09-30,2019Q3,109.9354476928711,129.8000030517578,32.079099363500006,32.120222183799996,164.3337750939,165.6041748472
2019-12-31,2019Q4,112.65418243408203,133.00999450683594,48.58616874549999,47.99560306810001,174.0216419016,174.0593078745
2020-03-31,2020Q1,97.89167022705078,115.58000183105469,77.0428954399,77.282285414,186.3134043082,185.9412228328
2020-06-30,2020Q2,146.99417114257812,171.25,31.511024238700017,31.3477583186,189.21918778760002,188.7458689845
2020-09-30,2020Q3,189.5001678466797,220.77000427246094,36.90062707019999,37.201176738699985,194.04071549429997,193.82682353939998
2020-12-31,2020Q4,250.51239013671875,291.8500061035156,54.093549196400005,54.11821882020004,199.5480959452,199.94943929150003
2021-03-31,2021Q1,230.0233612060547,267.9800109863281,93.2361399016,93.1835762315,215.7413404069,215.85073010900004
2021-06-30,2021Q2,255.6968994140625,297.8900146484375,38.767577565699995,38.153156662200004,222.99789373389996,222.65612845260003
2021-09-30,2021Q3,190.13352966308594,219.38999938964844,41.27069251930001,41.519269422499974,227.36795918300004,226.97422113640002
2021-12-31,2021Q4,192.96746826171875,222.66000366210938,60.49633354740001,60.45645200430002,233.77074353400002,233.3124543205
2022-03-31,2022Q1,134.38217163085938,155.05999755859375,108.22866097020001,108.4188944684,248.76326460260003,248.5477725574
2022-06-30,2022Q2,177.69241333007812,201.92999267578125,42.76042353909999,42.6867208239,252.75611057600003,253.0813367191
2022-09-30,2022Q3,148.91737365722656,169.22999572753906,48.883493804500006,49.06664665240001,260.3689118612,260.62871394900003
2022-12-31,2022Q4,159.00184631347656,180.69000244140625,67.0272581582,66.44832764289995,266.899836472,266.62058958759997
2023-03-31,2023Q1,173.3541717529297,197.0,125.4208621264,124.5582418477,284.0920376282,282.7599369669
2023-06-30,2023Q2,147.27894592285156,163.57000732421875,44.94622578540002,44.8544551633,286.27783987450005,284.9276713063
2023-09-30,2023Q3,140.55294799804688,156.10000610351562,57.96220371109999,58.0044589762,295.3565497811,293.86548363009996
2023-12-31,2023Q4,126.33557891845703,140.30999755859375,73.77656107009997,73.74753312070001,302.105852693,301.1646891079
2024-03-31,2024Q1,138.22088623046875,153.50999450683594,140.4514054062,140.3869298663,317.13639597279996,316.99337712650004
2024-06-30,2024Q2,115.28761291503906,128.0399932861328,50.116889882500004,49.00120697129998,322.30706006989993,321.14012893449996
2024-09-30,2024Q3,151.75599670410156,162.50999450683594,58.7395302768,58.93768253730005,323.08438663559997,322.07335249560003
2024-12-31,2024Q4,130.77294921875,140.0399932861328,69.22389977430001,69.09377338779998,318.5317253398,317.4195927627
2025-03-31,2025Q1,125.13086700439453,131.35000610351562,44.1631304841,44.1745805653,222.24345041770002,221.20724346170002
2025-06-30,2025Q2,113.27033996582031,118.9000015258789,2.075376667199997,1.9409415037999977,174.20193720240002,174.14697799420003
2025-09-30,2025Q3,118.71831512451172,121.4800033569336,18.507010770500003,18.466859218900012,133.9694176961,133.67615467579998
2025-12-31,2025Q4,105.94000244140625,105.94000244140625,24.7970541033,23.573978144699993,89.5425720251,88.1563594327
2026-03-31,2026Q1,103.2699966430664,103.2699966430664,80.62764940779999,80.3613413604,126.0070909488,124.3431202278
