业务,收入_亿元,同比_%,来源
增值服务,3692.8100,15.7011,腾讯官方年度业绩公告分部收入表
营销服务,1449.7300,19.4432,腾讯官方年度业绩公告分部收入表
金融科技及企业服务,2294.3500,8.2465,腾讯官方年度业绩公告分部收入表
其他,80.7700,4.0985,腾讯官方年度业绩公告分部收入表
