公司,代码,币种,市值,PE_TTM,抓取日,来源
腾讯,0700.HK,HKD,4129947123712,16.456242,2026-07-16,yfinance同批次行情；不采用预测PE
网易,9999.HK,HKD,651774722048,16.702215,2026-07-16,yfinance同批次行情；不采用预测PE
阿里巴巴,9988.HK,HKD,2136092573696,17.543308,2026-07-16,yfinance同批次行情；不采用预测PE
百度,9888.HK,HKD,286901043200,,2026-07-16,yfinance同批次行情；不采用预测PE
Meta,META,USD,1686883794944,24.750092,2026-07-16,yfinance同批次行情；不采用预测PE
拼多多,PDD,USD,123380006912,9.029166,2026-07-16,yfinance同批次行情；不采用预测PE
