证券代码,证券名称,同花顺行业大类,2026Q2基金净值权重(%),2025归母净利同比(%),2021-2025归母净利CAGR(%),2025加权ROE(%),2025基本EPS(元),2025每股税前分红(元),2025分红支付率(%),接口可见分红年份数
601919,中远海控,基建,2.82,-37.13,-23.33,13.17,1.99,1.000,50.3,8
000672,上峰材料,基建,2.27,1.62,-26.42,7.10,0.68,0.480,71.0,14
603565,中谷物流,基建,1.98,9.03,-4.49,18.70,0.95,0.670,70.5,6
601699,潞安环能,周期,1.93,-54.47,-36.20,2.44,0.37,0.187,50.5,18
600188,兖矿能源,周期,1.93,-43.61,-15.27,9.95,0.84,0.500,59.6,28
600256,广汇能源,周期,1.89,-54.46,-27.99,5.09,0.21,0.063,30.4,17
600546,山煤国际,周期,1.73,-48.58,-30.28,7.17,0.59,0.355,60.2,15
600985,淮北矿业,周期,1.59,-68.98,-25.57,3.59,0.56,0.250,44.6,22
601101,昊华能源,周期,1.50,-50.57,-28.98,4.30,0.36,0.250,69.4,16
601666,平煤股份,周期,1.45,-89.87,-46.96,1.04,0.09,0.060,64.2,16
