上期报告期,本期报告期,连续进入前十大数量,新进入前十大,退出前十大,本期前十大持仓合计(%)
20200331,20200630,7,000036_华联控股；000429_粤高速A；600114_东睦股份,002233_塔牌集团；600873_梅花生物；601003_柳钢股份,20.39
20200630,20200930,7,000895_双汇发展；002335_科华数据；600873_梅花生物,000036_华联控股；002110_三钢闽光；600114_东睦股份,21.30
20200930,20201231,1,000036_华联控股；000718_苏宁环球；002110_三钢闽光；002238_天威视讯；002756_永兴材料；600188_兖矿能源；600282_南钢股份；600327_大东方；601003_柳钢股份,000429_粤高速A；000895_双汇发展；002242_九阳股份；002335_科华数据；002367_康力电梯；002601_龙佰集团；600507_方大特钢；600873_梅花生物；601636_旗滨集团,17.17
20201231,20210331,8,002088_鲁阳节能；600019_宝钢股份,002238_天威视讯；603328_依顿电子,18.26
20210331,20210630,7,002516_旷达科技；600808_马钢股份；603355_莱克电气,002110_三钢闽光；600019_宝钢股份；600282_南钢股份,22.58
20210630,20210930,7,002110_三钢闽光；600348_华阳股份；600985_淮北矿业,000036_华联控股；002516_旷达科技；603355_莱克电气,25.41
20210930,20211231,2,000036_华联控股；000550_江铃汽车；002763_汇洁股份；600282_南钢股份；600325_华发股份；600376_首开股份；600479_千金药业；601088_中国神华,000718_苏宁环球；002088_鲁阳节能；002110_三钢闽光；002756_永兴材料；600348_华阳股份；600808_马钢股份；600985_淮北矿业；601003_柳钢股份,16.11
20211231,20220331,6,000090_天健集团；600153_建发股份；600985_淮北矿业；601666_平煤股份,000036_华联控股；000550_江铃汽车；002763_汇洁股份；600282_南钢股份,19.16
20220331,20220630,6,000036_华联控股；600389_江山股份；600873_梅花生物；601225_陕西煤业,000090_天健集团；600376_首开股份；600479_千金药业；600985_淮北矿业,19.21
20220630,20220930,9,600985_淮北矿业,600389_江山股份,21.40
20220930,20221231,2,002110_三钢闽光；600028_中国石化；600282_南钢股份；600350_山东高速；601000_唐山港；601006_大秦铁路；601328_交通银行；603156_养元饮品,000036_华联控股；600153_建发股份；600325_华发股份；600327_大东方；600873_梅花生物；600985_淮北矿业；601225_陕西煤业；601666_平煤股份,15.62
20221231,20230331,7,002563_森马服饰；600325_华发股份；601818_光大银行,002110_三钢闽光；600350_山东高速；601328_交通银行,16.71
20230331,20230630,7,600395_盘江股份；601328_交通银行；601988_中国银行,600188_兖矿能源；600325_华发股份；601818_光大银行,18.76
20230630,20230930,8,600350_山东高速；600398_海澜之家,601006_大秦铁路；601988_中国银行,18.62
20230930,20231231,4,000830_鲁西化工；600546_山煤国际；600755_厦门国贸；600971_恒源煤电；601225_陕西煤业；601699_潞安环能,002563_森马服饰；600350_山东高速；600395_盘江股份；600398_海澜之家；601328_交通银行；603156_养元饮品,15.36
20231231,20240331,6,000651_格力电器；600350_山东高速；601006_大秦铁路；601169_北京银行,000830_鲁西化工；600546_山煤国际；600755_厦门国贸；601699_潞安环能,16.62
20240331,20240630,7,000983_山西焦煤；600398_海澜之家；601328_交通银行,000651_格力电器；600028_中国石化；600282_南钢股份,17.84
20240630,20240930,7,000651_格力电器；000830_鲁西化工；600177_雅戈尔,000983_山西焦煤；600971_恒源煤电；601169_北京银行,16.99
20240930,20241231,4,000937_冀中能源；000983_山西焦煤；600546_山煤国际；600971_恒源煤电；601699_潞安环能；601919_中远海控,000651_格力电器；000830_鲁西化工；600350_山东高速；601006_大秦铁路；601225_陕西煤业；601328_交通银行,16.06
20241231,20250331,6,002048_宁波华翔；600729_重百集团；601838_成都银行；603565_中谷物流,600177_雅戈尔；600971_恒源煤电；601088_中国神华；601699_潞安环能,15.76
20250331,20250630,5,600919_江苏银行；601006_大秦铁路；601166_兴业银行；601939_建设银行；601998_中信银行,000983_山西焦煤；600546_山煤国际；600729_重百集团；601000_唐山港；603565_中谷物流,16.59
20250630,20250930,6,600282_南钢股份；601288_农业银行；601699_潞安环能；603565_中谷物流,600919_江苏银行；601006_大秦铁路；601166_兴业银行；601838_成都银行,17.67
20250930,20251231,3,000408_藏格矿业；000983_山西焦煤；600256_广汇能源；600295_鄂尔多斯；600546_山煤国际；601225_陕西煤业；601666_平煤股份,000937_冀中能源；002048_宁波华翔；600282_南钢股份；600398_海澜之家；601288_农业银行；601939_建设银行；601998_中信银行,16.06
20251231,20260331,8,600188_兖矿能源；601088_中国神华,000408_藏格矿业；000983_山西焦煤,17.87
20260331,20260630,7,000672_上峰材料；600985_淮北矿业；601101_昊华能源,600295_鄂尔多斯；601088_中国神华；601225_陕西煤业,19.09
