date,label,type,close,adj_close,net_profit,ttm
2020-12-31,2020-12,FY,54.95000076293945,49.59332275390625,52.77426,52.77426
2021-06-30,2021-06,H1,38.95000076293945,35.33176040649414,40.12918,64.25845999999999
2021-12-31,2021-12,FY,51.45000076293945,46.67057800292969,71.61794,71.61794
2022-06-30,2022-06,H1,45.04999923706055,41.389591217041016,46.08325,77.57201
2022-12-31,2022-12,FY,44.099998474121094,40.516780853271484,84.9525,84.9525
2023-06-30,2023-06,H1,43.25,40.48613357543945,57.75421,96.62346
2023-12-31,2023-12,FY,45.150001525878906,42.26471710205078,120.79498,120.79498
2024-06-30,2024-06,H1,37.04999923706055,35.316017150878906,62.39579,125.43655999999999
2024-12-31,2024-12,FY,34.0,32.40876007080078,121.23304,121.23304
2025-06-30,2025-06,H1,40.099998474121094,39.053993225097656,76.22082,135.05807000000001
2025-12-31,2025-12,FY,46.84000015258789,45.61817932128906,158.68274,158.68274
2026-06-30,2026-06,H1,39.619998931884766,39.619998931884766,88.87,171.33192
2026-09-16,"2026-09
(现价)",Latest,39.38,39.38,88.87,171.33192
