date,close
20041231,1000.0
20050104,980.49
20050105,991.04
20050106,982.21
20050107,984.53
20050110,992.6
20050111,997.06
20050112,997.91
20050113,997.76
20050114,991.18
20050117,967.3
20050118,973.14
20050119,967.97
20050120,956.14
20050121,983.38
20050124,997.96
20050125,999.26
20050126,992.62
20050127,980.14
20050128,974.87
20050131,959.03
20050201,962.75
20050202,1013.02
20050203,998.19
20050204,1020.33
20050216,1032.3
20050217,1028.64
20050218,1012.7
20050221,1034.4
20050222,1055.65
20050223,1056.94
20050224,1058.87
20050225,1058.53
20050228,1054.37
20050301,1047.66
20050302,1028.95
20050303,1036.77
20050304,1029.5
20050307,1037.21
20050308,1060.81
20050309,1061.66
20050310,1038.61
20050311,1050.42
20050314,1055.26
20050315,1038.79
20050316,1027.28
20050317,1016.08
20050318,999.98
20050321,1003.8
20050322,991.03
20050323,985.61
20050324,993.49
20050325,988.29
20050328,987.55
20050329,982.49
20050330,963.78
20050331,963.93
20050401,1000.01
20050404,979.77
20050405,972.6
20050406,988.14
20050407,998.3
20050408,1017.77
20050411,1012.35
20050412,1000.64
20050413,1022.62
20050414,1011.02
20050415,1000.34
20050418,989.46
20050419,992.9
20050420,982.32
20050421,977.77
20050422,975.45
20050425,965.26
20050426,968.59
20050427,953.74
20050428,966.91
20050429,954.17
20050509,933.58
20050510,940.02
20050511,932.08
20050512,914.48
20050513,910.49
20050516,899.32
20050517,910.05
20050518,908.82
20050519,911.2
20050520,911.98
20050523,892.27
20050524,893.55
20050525,891.41
20050526,877.35
20050527,867.34
20050530,877.46
20050531,879.11
20050601,864.58
20050602,848.7
20050603,846.87
20050606,864.32
20050607,863.52
20050608,932.38
20050609,936.27
20050610,922.81
20050613,922.17
20050614,914.57
20050615,900.61
20050616,913.31
20050617,918.59
20050620,940.85
20050621,932.22
20050622,933.9
20050623,927.52
20050624,932.24
20050627,948.33
20050628,935.08
20050629,931.61
20050630,910.38
20050701,889.26
20050704,881.58
20050705,873.31
20050706,865.93
20050707,869.52
20050708,852.24
20050711,841.61
20050712,863.24
20050713,859.09
20050714,859.6
20050715,847.18
20050718,832.21
20050719,834.74
20050720,843.89
20050721,845.44
20050722,861.08
20050725,862.15
20050726,880.84
20050727,896.02
20050728,895.08
20050729,888.46
20050801,895.4
20050802,906.82
20050803,912.1
20050804,906.85
20050805,926.6
20050808,933.56
20050809,940.38
20050810,946.99
20050811,962.78
20050812,948.95
20050815,964.61
20050816,957.99
20050817,968.09
20050818,938.81
20050819,935.94
20050822,942.16
20050823,932.98
20050824,942.82
20050825,939.84
20050826,936.45
20050829,926.08
20050830,924.41
20050831,943.13
20050901,965.72
20050902,969.14
20050905,974.46
20050906,951.75
20050907,969.74
20050908,975.28
20050909,972.28
20050912,972.83
20050913,989.41
20050914,997.88
20050915,1000.36
20050916,996.29
20050919,1004.02
20050920,993.23
20050921,972.09
20050922,946.59
20050923,941.38
20050926,942.22
20050927,930.77
20050928,929.74
20050929,942.71
20050930,943.22
20051010,931.52
20051011,943.71
20051012,951.95
20051013,943.16
20051014,926.13
20051017,914.08
20051018,922.73
20051019,915.49
20051020,909.55
20051021,915.66
20051024,917.85
20051025,901.59
20051026,878.36
20051027,871.67
20051028,862.57
20051031,870.64
20051101,865.77
20051102,876.48
20051103,866.22
20051104,871.24
20051107,872.41
20051108,873.57
20051109,871.75
20051110,848.38
20051111,848.97
