date,close
20041231,1000.0
20050104,981.18
20050105,985.46
20050106,976.06
20050107,982.92
20050110,988.17
20050111,989.99
20050112,988.35
20050113,988.5
20050114,983.53
20050117,959.57
20050118,964.72
20050119,959.13
20050120,952.42
20050121,980.39
20050124,995.5
20050125,1000.48
20050126,992.15
20050127,979.56
20050128,971.96
20050131,962.9
20050201,965.28
20050202,1015.56
20050203,1009.4
20050204,1032.17
20050216,1039.82
20050217,1032.37
20050218,1016.99
20050221,1037.46
20050222,1054.07
20050223,1052.91
20050224,1052.3
20050225,1052.36
20050228,1044.45
20050301,1038.29
20050302,1019.32
20050303,1027.63
20050304,1021.31
20050307,1025.32
20050308,1042.22
20050309,1044.42
20050310,1019.44
20050311,1023.99
20050314,1028.63
20050315,1007.43
20050316,1000.25
20050317,986.17
20050318,975.7
20050321,980.71
20050322,968.31
20050323,959.88
20050324,967.41
20050325,965.42
20050328,964.94
20050329,960.13
20050330,947.26
20050331,951.06
20050401,982.74
20050404,963.6
20050405,952.71
20050406,964.73
20050407,971.15
20050408,989.07
20050411,983.88
20050412,972.06
20050413,996.38
20050414,989.9
20050415,978.87
20050418,964.92
20050419,963.53
20050420,957.55
20050421,949.27
20050422,950.28
20050425,942.05
20050426,944.52
20050427,922.71
20050428,928.69
20050429,918.41
20050509,900.82
20050510,906.95
20050511,898.78
20050512,875.87
20050513,872.27
20050516,862.47
20050517,866.5
20050518,867.73
20050519,867.66
20050520,866.62
20050523,843.45
20050524,842.68
20050525,841.63
20050526,835.21
20050527,830.4
20050530,836.81
20050531,839.88
20050601,825.55
20050602,807.92
20050603,803.09
20050606,820.84
20050607,817.78
20050608,887.02
20050609,893.98
20050610,883.27
20050613,880.83
20050614,879.83
20050615,872.43
20050616,886.06
20050617,895.89
20050620,909.4
20050621,902.34
20050622,901.33
20050623,896.28
20050624,901.85
20050627,914.96
20050628,906.91
20050629,910.3
20050630,892.71
20050701,886.46
20050704,881.31
20050705,870.81
20050706,864.4
20050707,869.58
20050708,855.29
20050711,849.91
20050712,873.96
20050713,869.09
20050714,871.26
20050715,862.15
20050718,853.25
20050719,852.98
20050720,863.44
20050721,867.37
20050722,877.73
20050725,876.17
20050726,895.48
20050727,910.75
20050728,907.66
20050729,905.35
20050801,909.94
20050802,918.03
20050803,920.92
20050804,919.62
20050805,934.29
20050808,942.85
20050809,950.75
20050810,954.71
20050811,961.0
20050812,957.51
20050815,968.28
20050816,959.82
20050817,966.59
20050818,955.65
20050819,958.11
20050822,961.15
20050823,954.89
20050824,964.68
20050825,961.8
20050826,957.56
20050829,941.43
20050830,939.27
20050831,953.25
20050901,966.15
20050902,965.71
20050905,967.86
20050906,949.24
20050907,962.21
20050908,966.07
20050909,965.3
20050912,965.35
20050913,975.04
20050914,980.4
20050915,985.03
20050916,981.18
20050919,990.94
20050920,985.16
20050921,969.68
20050922,949.15
20050923,945.57
20050926,943.61
20050927,931.99
20050928,928.02
20050929,940.19
20050930,944.01
20051010,931.48
20051011,941.61
20051012,942.51
20051013,937.1
20051014,925.22
20051017,910.16
20051018,913.48
20051019,907.52
20051020,906.39
20051021,908.61
20051024,902.61
20051025,891.13
20051026,871.92
20051027,866.33
20051028,860.09
20051031,868.66
20051101,862.94
20051102,874.97
20051103,865.64
20051104,871.48
20051107,872.12
20051108,876.55
20051109,875.55
20051110,857.26
20051111,854.5
20051114,850.4
20051115,849.34
20051116,863.77
20051117,858.89
20051118,878.37
20051121,880.5
20051122,863.66
20051123,869.63
20051124,875.66
20051125,874.52
20051128,871.44
20051129,859.99
20051130,859.05
20051201,859.51
20051202,859.64
20051205,850.24
20051206,859.19
20051207,869.78
20051208,868.72
20051209,880.11
20051212,880.07
20051213,882.02
20051214,885.24
20051215,886.73
20051216,892.39
20051219,900.78
20051220,902.02
20051221,896.26
20051222,900.58
20051223,907.26
20051226,918.56
20051227,920.43
20051228,927.43
20051229,930.86
20051230,923.22
20060104,934.47
20060105,950.37
20060106,956.55
20060109,957.06
20060110,957.52
20060111,952.1
20060112,960.86
20060113,954.31
20060116,939.83
20060117,946.01
20060118,964.18
20060119,979.43
20060120,981.57
20060123,982.5
20060124,980.8
20060125,989.51
20060206,1013.68
20060207,1010.46
20060208,1014.74
20060209,1002.47
20060210,1014.32
20060213,1012.36
20060214,1011.29
20060215,1019.47
20060216,994.09
20060217,993.3
20060220,996.95
20060221,1019.6
20060222,1019.17
20060223,1023.98
20060224,1033.26
20060227,1028.25
20060228,1029.14
20060301,1034.46
20060302,1016.97
20060303,1026.52
20060306,1022.93
20060307,1001.51
20060308,992.66
20060309,993.24
20060310,996.06
20060313,1008.63
20060314,1009.14
20060315,1018.59
20060316,1014.0
20060317,1012.4
20060320,1026.34
20060321,1023.49
20060322,1025.93
20060323,1029.09
20060324,1023.49
20060327,1022.29
20060328,1022.48
20060329,1030.44
20060330,1019.52
20060331,1020.31
20060403,1030.31
20060404,1040.59
20060405,1041.77
20060406,1040.51
20060407,1039.93
20060410,1052.94
20060411,1056.95
20060412,1051.37
20060413,1036.94
20060414,1064.85
20060417,1074.1
20060418,1082.36
20060419,1085.92
20060420,1067.51
20060421,1085.53
20060424,1077.75
20060425,1063.02
20060426,1078.81
20060427,1075.41
20060428,1085.3
20060508,1123.26
20060509,1145.82
20060510,1153.88
20060511,1140.76
20060512,1178.98
20060515,1224.52
20060516,1208.73
20060517,1225.57
20060518,1229.33
20060519,1258.19
20060522,1274.33
20060523,1235.63
20060524,1214.18
20060525,1213.08
20060526,1231.22
20060529,1263.29
20060530,1257.38
20060531,1258.97
20060601,1288.63
20060602,1283.82
20060605,1293.98
20060606,1296.1
20060607,1224.55
20060608,1228.36
20060609,1200.07
20060612,1196.61
20060613,1191.0
20060614,1168.57
20060615,1168.66
20060616,1199.86
20060619,1205.36
20060620,1213.02
20060621,1215.5
20060622,1207.17
20060623,1212.09
20060626,1236.69
20060627,1239.09
20060628,1247.17
20060629,1277.37
20060630,1273.39
20060703,1290.84
20060704,1271.86
20060705,1248.82
20060706,1273.56
20060707,1260.65
20060710,1261.96
20060711,1265.71
20060712,1273.68
20060713,1218.7
20060714,1227.72
20060717,1240.78
20060718,1240.36
20060719,1211.0
20060720,1217.94
20060721,1225.88
20060724,1224.95
20060725,1241.63
20060726,1245.66
20060727,1231.91
20060728,1224.76
20060731,1186.91
20060801,1180.91
20060802,1178.54
20060803,1178.89
20060804,1151.05
20060807,1132.13
20060808,1158.79
20060809,1157.6
20060810,1181.52
20060811,1183.43
20060814,1154.75
20060815,1177.63
20060816,1191.31
20060817,1179.53
20060818,1176.15
20060821,1175.91
20060822,1182.96
20060823,1183.2
20060824,1189.86
20060825,1196.87
20060828,1219.39
20060829,1220.63
20060830,1223.4
20060831,1225.82
20060901,1214.22
20060904,1231.51
20060905,1230.72
20060906,1237.26
20060907,1221.33
20060908,1222.96
20060911,1228.43
20060912,1243.17
20060913,1237.99
20060914,1232.36
20060915,1255.16
20060918,1266.8
20060919,1266.05
20060920,1263.73
20060921,1268.05
20060922,1250.19
20060925,1243.12
20060926,1236.6
20060927,1243.84
20060928,1250.16
20060929,1261.33
20061009,1283.08
20061010,1281.21
20061011,1290.18
20061012,1296.54
20061013,1293.56
20061016,1284.13
20061017,1275.33
20061018,1291.55
20061019,1293.63
20061020,1285.87
20061023,1270.2
20061024,1301.88
20061025,1301.21
20061026,1305.86
20061027,1310.08
20061030,1336.92
20061031,1363.09
20061101,1386.26
20061102,1394.37
20061103,1397.81
20061106,1445.19
20061107,1437.22
20061108,1407.93
20061109,1440.4
20061110,1415.75
20061113,1388.58
20061114,1395.18
20061115,1445.21
20061116,1438.96
20061117,1483.2
20061120,1527.63
20061121,1548.35
20061122,1540.85
20061123,1559.83
20061124,1553.73
20061127,1565.02
20061128,1560.63
20061129,1577.09
20061130,1637.49
20061201,1637.66
20061204,1678.05
20061205,1692.08
20061206,1674.53
20061207,1687.61
20061208,1614.44
20061211,1692.51
20061212,1709.4
20061213,1741.83
20061214,1767.39
20061215,1778.9
20061218,1801.78
20061219,1816.54
20061220,1818.4
20061221,1771.08
20061222,1764.46
20061225,1806.8
20061226,1843.72
20061227,1876.06
20061228,1866.23
20061229,1928.7
20070104,2009.82
20070105,2044.24
20070108,2091.41
20070109,2198.59
20070110,2237.14
20070111,2174.91
20070112,2070.76
20070115,2176.51
20070116,2208.23
20070117,2184.88
20070118,2155.91
20070119,2204.57
20070122,2279.39
20070123,2339.18
20070124,2412.5
20070125,2306.79
20070126,2358.39
20070129,2438.57
20070130,2454.89
20070131,2283.9
