date,close
20051230,1000.0
20060104,1012.48
20060105,1021.43
20060106,1036.12
20060109,1043.08
20060110,1039.09
20060111,1032.34
20060112,1051.46
20060113,1057.39
20060116,1053.87
20060117,1049.16
20060118,1070.43
20060119,1086.96
20060120,1099.56
20060123,1099.59
20060124,1100.88
20060125,1110.47
20060206,1148.29
20060207,1157.09
20060208,1152.87
20060209,1130.84
20060210,1145.62
20060213,1150.87
20060214,1167.0
20060215,1160.21
20060216,1133.95
20060217,1131.1
20060220,1124.74
20060221,1148.7
20060222,1156.67
20060223,1157.11
20060224,1164.01
20060227,1175.88
20060228,1182.25
20060301,1187.39
20060302,1175.21
20060303,1172.33
20060306,1178.55
20060307,1150.01
20060308,1157.49
20060309,1149.94
20060310,1154.81
20060313,1157.52
20060314,1164.91
20060315,1179.77
20060316,1184.49
20060317,1183.49
20060320,1192.41
20060321,1213.42
20060322,1234.3
20060323,1249.78
20060324,1244.92
20060327,1261.9
20060328,1271.72
20060329,1277.24
20060330,1272.87
20060331,1310.8
20060403,1339.1
20060404,1359.82
20060405,1375.31
20060406,1381.79
20060407,1395.48
20060410,1405.4
20060411,1393.99
20060412,1405.95
20060413,1366.47
20060414,1392.71
20060417,1393.4
20060418,1401.52
20060419,1424.9
20060420,1438.73
20060421,1456.54
20060424,1473.66
20060425,1487.76
20060426,1508.77
20060427,1521.46
20060428,1558.9
20060508,1618.38
20060509,1715.31
20060510,1765.7
20060511,1746.11
20060512,1819.86
20060515,1929.66
20060516,1884.38
20060517,1947.86
20060518,1929.98
20060519,1976.27
20060522,1921.19
20060523,1846.65
20060524,1855.46
20060525,1842.68
20060526,1886.94
20060529,1957.74
20060530,2001.63
20060531,1970.46
20060601,2028.29
20060602,1992.35
20060605,1996.5
20060606,1962.15
20060607,1876.69
20060608,1885.13
20060609,1872.42
20060612,1915.73
20060613,1924.44
20060614,1917.0
20060615,1924.24
20060616,1984.87
20060619,2044.46
20060620,2069.78
20060621,2072.42
20060622,2076.19
20060623,2105.36
20060626,2167.74
20060627,2195.62
20060628,2186.85
20060629,2220.21
20060630,2191.85
20060703,2192.1
20060704,2203.42
20060705,2192.45
20060706,2244.06
20060707,2235.3
20060710,2224.42
20060711,2202.09
20060712,2199.69
20060713,2107.41
20060714,2105.21
20060717,2115.53
20060718,2138.93
20060719,2096.66
20060720,2114.37
20060721,2120.41
20060724,2177.79
20060725,2197.85
20060726,2203.64
20060727,2184.17
20060728,2158.54
20060731,2084.37
20060801,2054.33
20060802,2041.12
20060803,2023.56
20060804,1965.52
20060807,1954.94
20060808,2007.17
20060809,2012.12
20060810,2037.34
20060811,2044.82
20060814,1990.37
20060815,2010.79
20060816,2032.36
20060817,2013.03
20060818,2005.58
20060821,2015.85
20060822,2030.26
20060823,2016.33
20060824,2029.46
20060825,2024.59
20060828,2070.0
20060829,2078.76
20060830,2079.47
20060831,2097.61
20060901,2077.05
20060904,2099.66
20060905,2091.94
20060906,2107.13
20060907,2083.12
20060908,2076.78
20060911,2077.29
20060912,2086.3
20060913,2062.92
20060914,2071.05
20060915,2091.72
20060918,2106.62
20060919,2126.79
20060920,2121.98
20060921,2157.73
20060922,2133.29
20060925,2130.06
20060926,2126.54
20060927,2137.67
20060928,2155.95
20060929,2178.99
20061009,2257.22
20061010,2267.16
20061011,2258.32
20061012,2221.84
20061013,2223.12
20061016,2203.1
20061017,2211.71
20061018,2234.91
20061019,2264.05
20061020,2251.69
20061023,2218.28
20061024,2256.43
20061025,2295.56
20061026,2283.4
20061027,2231.45
20061030,2204.82
20061031,2221.9
20061101,2226.03
20061102,2233.13
20061103,2235.93
20061106,2227.01
20061107,2213.32
20061108,2217.53
20061109,2230.68
20061110,2180.15
20061113,2114.86
20061114,2156.98
20061115,2207.39
20061116,2197.38
20061117,2233.45
20061120,2217.63
20061121,2223.04
20061122,2255.91
20061123,2257.59
20061124,2283.19
20061127,2329.32
20061128,2338.13
20061129,2401.76
20061130,2448.93
20061201,2471.38
20061204,2503.67
20061205,2497.37
20061206,2454.82
20061207,2441.27
20061208,2386.78
20061211,2464.44
20061212,2477.94
20061213,2498.01
20061214,2587.24
20061215,2646.12
20061218,2737.58
20061219,2784.79
20061220,2804.5
20061221,2747.87
20061222,2731.45
20061225,2765.4
20061226,2746.94
20061227,2797.41
20061228,2747.82
20061229,2785.65
20070104,2781.95
20070105,2856.97
20070108,2951.08
20070109,3004.2
20070110,3057.89
20070111,3082.07
20070112,3042.77
20070115,3244.88
20070116,3340.49
20070117,3330.12
20070118,3475.7
20070119,3578.9
20070122,3661.46
20070123,3545.61
20070124,3554.42
20070125,3394.15
20070126,3402.4
20070129,3509.27
20070130,3573.81
20070131,3387.2
20070201,3446.97
20070202,3349.67
20070205,3380.37
20070206,3419.75
20070207,3481.8
20070208,3597.4
20070209,3626.61
20070212,3689.57
20070213,3749.3
20070214,3820.33
20070215,3909.79
20070216,3877.03
20070226,3966.46
20070227,3597.66
20070228,3727.09
20070301,3734.6
20070302,3820.42
20070305,3790.78
20070306,3784.05
20070307,3869.97
20070308,3897.5
20070309,3921.13
20070312,3953.11
20070313,4005.33
20070314,3915.08
20070315,3971.54
20070316,3876.75
20070319,3864.47
20070320,3932.91
20070321,4004.69
20070322,4073.46
20070323,4138.77
20070326,4273.74
20070327,4298.47
20070328,4266.06
20070329,4141.87
20070330,4152.43
20070402,4238.95
20070403,4314.93
20070404,4386.77
20070405,4481.0
20070406,4551.53
20070409,4623.06
20070410,4639.2
20070411,4664.95
20070412,4709.81
20070413,4748.58
20070416,4865.23
20070417,4927.54
20070418,5066.46
20070419,4733.41
20070420,4921.55
20070423,5087.92
20070424,5177.81
20070425,5124.36
20070426,5220.13
20070427,5165.03
20070430,5275.39
20070508,5543.58
20070509,5548.35
20070510,5576.07
20070511,5516.34
20070514,5542.34
20070515,5463.72
20070516,5662.55
20070517,5869.05
20070518,5976.14
20070521,6084.97
20070522,6108.16
20070523,6308.42
20070524,6259.81
20070525,6333.52
20070528,6525.76
20070529,6667.97
20070530,6075.79
20070531,5900.08
20070601,5562.39
20070604,5177.15
20070605,5276.18
20070606,5385.04
20070607,5653.23
20070608,5801.72
20070611,5892.7
20070612,6037.77
20070613,6181.6
20070614,6118.43
20070615,6067.85
20070618,6252.83
20070619,6241.59
20070620,6030.09
20070621,6072.03
20070622,5784.36
20070625,5417.02
20070626,5560.46
20070627,5645.1
20070628,5332.42
20070629,5382.1
20070702,5457.3
20070703,5515.37
20070704,5486.29
20070705,5164.46
20070706,5367.6
20070709,5606.96
20070710,5564.1
20070711,5593.1
20070712,5579.42
20070713,5528.3
20070716,5412.97
20070717,5482.4
20070718,5495.16
20070719,5498.19
20070720,5642.99
20070723,5901.07
20070724,5901.81
20070725,6045.35
20070726,6122.94
20070727,6133.01
20070730,6244.38
20070731,6503.02
20070801,6283.17
20070802,6577.19
20070803,6817.94
20070806,6902.49
20070807,6901.66
20070808,6872.59
20070809,6888.74
20070810,6736.56
20070813,6632.25
20070814,6762.42
20070815,6694.56
20070816,6679.67
20070817,6511.87
20070820,6762.93
20070821,6896.53
20070822,6964.52
20070823,6962.42
20070824,6916.18
20070827,6917.98
20070828,6961.24
20070829,6827.84
20070830,7046.72
20070831,7115.62
20070903,7209.61
20070904,7127.65
20070905,7106.16
20070906,7215.74
20070907,6959.4
20070910,7123.74
20070911,6732.88
20070912,6918.38
20070913,7019.43
20070914,7137.98
20070917,7317.42
20070918,7442.96
20070919,7230.46
20070920,7313.03
20070921,7242.72
20070924,7171.8
20070925,7103.41
20070926,7144.71
20070927,7255.88
20070928,7492.39
20071008,7420.99
20071009,7532.21
20071010,7525.71
20071011,7427.68
20071012,7523.38
20071015,7603.64
20071016,7540.24
20071017,7469.19
20071018,7270.1
20071019,7194.62
20071022,6985.83
20071023,7024.09
20071024,6934.0
20071025,6452.65
20071026,6381.94
20071029,6356.88
20071030,6501.81
20071031,6770.32
20071101,6565.42
20071102,6408.29
20071105,6416.14
20071106,6489.3
20071107,6480.34
20071108,6191.22
20071109,6077.96
20071112,5968.18
20071113,6026.51
20071114,6251.65
20071115,6192.06
20071116,6240.23
20071119,6367.38
20071120,6438.4
20071121,6323.43
20071122,6015.34
20071123,6146.27
20071126,6132.57
20071127,6095.94
20071128,6115.82
20071129,6285.15
20071130,6139.85
20071203,6173.56
20071204,6190.59
20071205,6317.25
20071206,6351.45
20071207,6554.49
20071210,6813.93
20071211,6954.81
20071212,7090.33
20071213,6905.76
20071214,7160.7
20071217,7271.12
20071218,7160.19
20071219,7301.93
20071220,7426.45
20071221,7510.98
20071224,7646.72
20071225,7788.02
20071226,7945.89
20071227,7945.28
20071228,7931.21
20080102,8277.72
20080103,8333.74
20080104,8536.45
20080107,8726.77
20080108,8532.59
20080109,8827.71
20080110,8977.01
20080111,8863.84
20080114,9061.05
20080115,9086.72
20080116,9055.93
20080117,8712.39
20080118,8748.45
20080121,8392.95
20080122,7886.53
20080123,8515.31
20080124,8883.4
20080125,8637.53
20080128,7945.17
20080129,8029.11
20080130,8185.88
20080131,7799.34
20080201,7531.51
20080204,8157.67
20080205,8134.59
20080213,8142.48
20080214,8298.88
20080215,8387.71
20080218,8802.43
20080219,8957.85
20080220,9162.29
20080221,9147.54
20080222,8972.34
20080225,8653.98
20080226,8475.13
20080227,8866.78
20080228,8930.3
20080229,8955.19
20080303,9352.11
20080304,9591.98
20080305,9742.57
20080306,9532.7
