name,group,cagr,c3,vol,vol3,cagr_live,bt
上证红利,2013前,0.10408784031083029,0.08732045431619917,0.19894645973150896,0.15681003743387759,0.0988918755258219,0.0
中证红利,2013前,0.11970440979654406,0.06931611777040336,0.2008521333682385,0.15176209473016075,0.06090992723848809,0.0
上国红利,2013前,0.1167657956445205,0.10436340211648232,0.19919539121431928,0.1682891434495917,0.10501929415087385,0.0
央企红利,2013前,0.10318260099060161,0.09083849934684762,0.19775946615214898,0.15392205433620504,0.09085359156706496,0.0
红利低波,2013前,0.11853327832521132,0.0765388323364018,0.19350624005721956,0.1472885759122216,0.11795387729673101,0.0
红利低波100,2013前,0.12649515261426636,0.04599181842578104,0.18864938063421516,0.14534514316827662,0.06380782234846372,0.26988265971316816
300红利低波,2013前,0.12116759586208214,0.06380748399250713,0.18105176101875164,0.12731884529720436,0.07744134860117935,0.3909169926119079
东证红利低波,2013前,0.15814144636284078,0.09017527135030656,0.1846635588505291,0.14162127526311066,0.13922627614569327,0.5004345936549326
A500红利低波,2013前,0.13689706417190206,0.08737041999270456,0.18277992159319792,0.1329069546650874,0.07611792060408318,0.8946110386788353
红利质量,2013前,0.1531697713665705,0.06883031741815504,0.2286862209374321,0.20762284466589145,0.07986062112227632,0.5069534984789222
中证红利质量,2013前,0.16544921705832194,0.11100393218750493,0.21213703641213977,0.1758077106131389,0.14898158146546203,0.8348544111255976
智选高股息,2013前,0.15214692527552787,0.13414085385281593,0.1899137474335296,0.16158909013094863,0.1015351708417922,0.8531073446327684
SHS红利成长LV,2014-11,0.12120718929815522,0.1124810338511899,0.16668434813641136,0.13298630999763247,0.08853254731029292,0.3788515406162465
港股通高股息,2014-11,0.12810473128648092,0.17746603823956253,0.21145578561641445,0.19345827200713028,0.13050540707980218,0.17320261437908496
港股通高息精选,2014-11,0.07220960756416184,0.11075018931193958,0.19204576738902487,0.18987747990042556,0.09130027614380376,0.13352007469654528
港股通央企红利,2014-11,0.07852302112717435,0.18351829349165927,0.20628088416308046,0.217868452963158,0.08188975464816073,0.22338935574229693
香港红利,2013前,0.1264528005927048,0.2346418440804965,0.16629362777522208,0.17883040875625306,0.1128581682925871,0.0
消费红利,2013前,0.12668387808638482,-0.08310035730578014,0.23871163742762003,0.20147884774306682,0.1322455449883333,0.0
红利价值,2013前,0.11569846176689924,0.08720926109279437,0.20297764502932275,0.15422695946122997,0.11452376600513925,0.0
央企股东回报,2016末,0.08486660811118263,0.07567928894622766,0.18239559574335226,0.17033286675762063,0.10091868587302866,0.6122041631023667
诚通央企红利,2016末,0.0919876754543476,0.0997971989198485,0.18600146628458503,0.17393506618135687,0.08357596349863816,0.660393498716852
国新港股通央企红利,2016末,0.0918043395455459,0.1472201438319538,0.1879364823561575,0.191476440543731,0.1509821956952766,0.69803250641574
