年份,扣非净利润,净利率,总资产周转率,权益乘数,简单ROE,经营现金流,资本开支,自由现金流
2021,28.16,13.33,0.57,1.74,13.22,56.77,23.29,33.48
2022,46.66,16.92,0.59,1.73,17.27,58.93,31.30,27.63
2023,55.27,16.98,0.62,1.78,18.74,76.25,44.75,31.50
2024,74.46,19.10,0.65,1.79,22.23,85.62,54.81,30.81
2025,91.65,20.34,0.69,1.82,25.55,120.55,61.64,58.91
