date,quarter,adj_close,close,net_profit_yi,non_gaap_yi,net_profit_ttm_yi,non_gaap_ttm_yi
2015-03-31,2015Q1,11.164677619934082,16.729999542236328,5.79367617,5.92084755,23.268332840000003,22.94269758
2015-06-30,2015Q2,9.940445899963379,14.279999732971191,6.36139606,6.29181349,23.873653859999997,23.60728772
2015-09-30,2015Q3,8.248900413513184,11.850000381469727,6.33260656,6.2791469599999985,24.92062414,24.81508031
2015-12-31,2015Q4,10.573905944824219,15.1899995803833,7.566117479999999,7.613909760000002,26.05379627,26.10571776
2016-03-31,2016Q1,10.365072250366211,14.890000343322754,5.83071294,5.80994264,26.09083304,25.99481285
2016-06-30,2016Q2,10.266500473022461,14.0,8.73738298,8.59210333,28.466819960000002,28.29510269
2016-09-30,2016Q3,12.385801315307617,16.889999389648438,7.185933110000002,6.91033934,29.32014651,28.926295070000002
2016-12-31,2016Q4,13.661779403686523,18.6299991607666,9.688244359999999,9.37948638,31.44227339,30.69187169
2017-03-31,2017Q1,16.580402374267578,22.610000610351562,6.92879063,6.85237597,32.54035108,31.73430502
2017-06-30,2017Q2,19.737058639526367,26.040000915527344,6.9330776499999995,6.626991490000001,30.73604575,29.769193180000002
2017-09-30,2017Q3,19.320186614990234,25.489999771118164,7.573630950000002,7.370888339999999,31.12374359,30.22974218
2017-12-31,2017Q4,21.980600357055664,29.0,10.0519812,9.45233005,31.48748043,30.30258585
2018-03-31,2018Q1,18.774465560913086,24.770000457763672,5.62617916,5.94857072,30.184868960000003,29.3987806
2018-06-30,2018Q2,20.0803279876709,25.709999084472656,13.060027050000002,12.348468790000002,36.311818360000004,35.1202579
2018-09-30,2018Q3,19.877262115478516,25.450000762939453,13.934722489999999,9.850695609999999,42.6729099,37.60006517
2018-12-31,2018Q4,18.09067726135254,22.780000686645508,8.583945319999998,6.530143580000001,41.20487402,34.6778787
2019-03-31,2019Q1,19.321605682373047,24.329999923706055,6.06046927,5.16237613,41.63916413,33.89168411
2019-06-30,2019Q2,18.663007736206055,22.729999542236328,8.99525504,8.24012788,37.57439212,29.783343199999997
2019-09-30,2019Q3,17.636661529541016,21.479999542236328,8.40959001,7.852909860000002,32.049259639999995,27.785557450000002
2019-12-31,2019Q4,19.69755744934082,23.989999771118164,5.5190184099999975,6.773657099999998,28.98433273,28.02907097
2020-03-31,2020Q1,15.748193740844727,19.18000030517578,4.5995642,3.80185709,27.523427659999996,26.66855193
2020-06-30,2020Q2,17.13580894470215,20.8700008392334,5.04010323,4.11920583,23.56827585,22.54762988
2020-09-30,2020Q3,27.38451385498047,32.38999938964844,7.58937199,7.178204180000001,22.748057829999997,21.8729242
2020-12-31,2020Q4,40.62445068359375,48.04999923706055,8.778725170000001,7.940636230000001,26.00776459,23.03990333
2021-03-31,2021Q1,38.958892822265625,46.08000183105469,8.55254275,8.1296527,29.96074314,27.367698940000004
2021-06-30,2021Q2,47.21905517578125,55.849998474121094,9.139931909999998,8.4877607,34.06057182,31.73625381
2021-09-30,2021Q3,36.20698928833008,42.25,8.26520644,7.169678380000001,34.73640627,31.72772801
2021-12-31,2021Q4,40.3975715637207,47.13999938964844,5.50398981,4.372265809999998,31.46167091,28.15935759
2022-03-31,2022Q1,30.490999221801758,35.58000183105469,8.71181319,8.55587923,31.62094135,28.58558412
2022-06-30,2022Q2,36.79829788208008,41.810001373291016,15.107176280000001,14.547149849999998,37.58818572,34.644973269999994
2022-09-30,2022Q3,31.51750946044922,35.810001373291016,15.18929666,15.046025360000002,44.51227594,42.521320249999995
2022-12-31,2022Q4,30.866207122802734,35.06999969482422,8.547669280000001,8.508001069999999,47.55595541,46.65705551
2023-03-31,2023Q1,30.593368530273438,34.7599983215332,9.14508612,8.77956938,47.989228340000004,46.88074566
2023-06-30,2023Q2,32.73605728149414,35.849998474121094,19.21734105,19.14957623,52.09939311000001,51.48317204
2023-09-30,2023Q3,33.71311950683594,36.91999816894531,12.896902049999998,12.691479219999998,49.806998500000006,49.1286259
2023-12-31,2023Q4,34.142295837402344,37.38999938964844,15.033231319999999,14.654053470000001,56.29256054,55.274678300000005
2024-03-31,2024Q1,39.50242233276367,43.2599983215332,13.87825463,15.17878496,61.025729049999995,61.67389388
2024-06-30,2024Q2,44.900062561035156,47.900001525878906,21.107802720000002,20.584387999999997,62.91619072,63.10870565
2024-09-30,2024Q3,54.55498504638672,58.20000076293945,19.801785019999997,19.743211260000002,69.82107369,70.16043769000001
2024-12-31,2024Q4,58.491939544677734,62.400001525878906,20.191918859999994,18.953612370000002,74.97976123,74.45999659
2025-03-31,2025Q1,54.90180587768555,58.56999969482422,20.29740416,19.86938205,81.39891075999999,79.15059368
2025-06-30,2025Q2,55.14381790161133,57.0099983215332,27.749712950000003,27.1974435,88.04082098999999,85.76364918
2025-09-30,2025Q3,71.0069808959961,73.41000366210938,22.591424439999997,22.149515220000005,90.83046040999999,88.16995314000002
2025-12-31,2025Q4,63.46261215209961,64.7699966430664,22.48449995,22.43050271,93.1230415,91.64684348
2026-03-31,2026Q1,55.84945297241211,57.0,17.11539612,16.42761951,89.94103346,88.20508093999999
