区间,起始日期,结束日期,交易日数,ETF累计收益(%),全收益指数累计收益(%),累计收益差(百分点),ETF年化收益(%),全收益指数年化收益(%),年化跟踪差(百分点),年化跟踪误差(%)
上市以来,2019-01-18,2026-07-31,1826,139.1205,119.3275,19.7930,12.2711,10.9905,1.2805,0.9385
近5年,2021-07-30,2026-07-31,1212,68.9561,75.1899,-6.2338,11.0542,11.8615,-0.8073,0.6855
