上期报告期,本期报告期,连续进入前十大数量,新进入前十大,退出前十大,本期前十大持仓合计(%)
20190331,20190630,8,600377_宁沪高速；600741_华域汽车,000631_顺发恒能；002191_劲嘉股份,27.40
20190630,20190930,9,601166_兴业银行,600377_宁沪高速,27.42
20190930,20191231,2,000581_威孚高科；000656_金科股份；002233_塔牌集团；600019_宝钢股份；600028_中国石化；600873_梅花生物；601006_大秦铁路；601636_旗滨集团,000338_潍柴动力；002083_孚日股份；600104_上汽集团；600325_华发股份；600383_金地集团；600741_华域汽车；600900_长江电力；601166_兴业银行,26.99
20191231,20200331,10,,,27.96
20200331,20200630,8,600585_海螺水泥；601398_工商银行,600376_首开股份；601006_大秦铁路,28.46
20200630,20200930,9,600761_安徽合力,600019_宝钢股份,30.84
20200930,20201231,1,000718_苏宁环球；600016_民生银行；600188_兖矿能源；600282_南钢股份；600348_华阳股份；600350_山东高速；600395_盘江股份；601006_大秦铁路；601088_中国神华,000429_粤高速A；000581_威孚高科；000656_金科股份；600028_中国石化；600585_海螺水泥；600761_安徽合力；600873_梅花生物；601398_工商银行；601636_旗滨集团,26.56
20201231,20210331,7,000069_华侨城A；600919_江苏银行；601009_南京银行,600016_民生银行；600348_华阳股份；600350_山东高速,29.12
20210331,20210630,7,600348_华阳股份；600704_物产中大；601328_交通银行,000069_华侨城A；002233_塔牌集团；601009_南京银行,34.70
20210630,20210930,7,002128_电投能源；600025_华能水电；600970_中材国际,600919_江苏银行；601006_大秦铁路；601328_交通银行,38.31
20210930,20211231,2,000090_天健集团；000656_金科股份；002003_伟星股份；600023_浙能电力；600325_华发股份；600350_山东高速；601328_交通银行；603886_元祖股份,000718_苏宁环球；002128_电投能源；600025_华能水电；600282_南钢股份；600348_华阳股份；600395_盘江股份；600704_物产中大；600970_中材国际,26.84
20211231,20220331,8,000961_ST中南；601169_北京银行,600023_浙能电力；603886_元祖股份,30.36
20220331,20220630,8,600502_安徽建工；601838_成都银行,000656_金科股份；000961_ST中南,31.54
20220630,20220930,7,600048_保利发展；601098_中南传媒；601928_凤凰传媒,600502_安徽建工；601169_北京银行；601838_成都银行,34.98
20220930,20221231,3,000581_威孚高科；000651_格力电器；000830_鲁西化工；002818_富森美；600019_宝钢股份；600028_中国石化；600177_雅戈尔,000090_天健集团；002003_伟星股份；600048_保利发展；600188_兖矿能源；600325_华发股份；601098_中南传媒；601928_凤凰传媒,25.94
20221231,20230331,8,601098_中南传媒；601928_凤凰传媒,600177_雅戈尔；600350_山东高速,26.69
20230331,20230630,5,600373_中文传媒；600757_长江传媒；601288_农业银行；601857_中国石油；601988_中国银行,000581_威孚高科；000830_鲁西化工；002818_富森美；600019_宝钢股份；601098_中南传媒,30.19
20230630,20230930,8,600350_山东高速；601098_中南传媒,600373_中文传媒；601928_凤凰传媒,29.40
20230930,20231231,4,600123_兰花科创；600188_兖矿能源；600295_鄂尔多斯；600755_厦门国贸；600997_开滦股份；601166_兴业银行,000651_格力电器；600757_长江传媒；601098_中南传媒；601288_农业银行；601857_中国石油；601988_中国银行,26.08
20231231,20240331,7,601169_北京银行；601288_农业银行；601857_中国石油,600123_兰花科创；600997_开滦股份；601166_兴业银行,27.27
20240331,20240630,6,600039_四川路桥；600461_洪城环境；601077_渝农商行；601101_昊华能源,600028_中国石化；600295_鄂尔多斯；600755_厦门国贸；601288_农业银行,27.94
20240630,20240930,8,601288_农业银行；601988_中国银行,600039_四川路桥；601857_中国石油,26.90
20240930,20241231,1,002540_亚太科技；600039_四川路桥；600153_建发股份；600177_雅戈尔；600282_南钢股份；601006_大秦铁路；601225_陕西煤业；601825_沪农商行；601838_成都银行,600188_兖矿能源；600350_山东高速；600461_洪城环境；601088_中国神华；601101_昊华能源；601169_北京银行；601288_农业银行；601328_交通银行；601988_中国银行,24.61
20241231,20250331,7,002032_苏泊尔；601166_兴业银行；601229_上海银行,002540_亚太科技；601077_渝农商行；601225_陕西煤业,25.03
20250331,20250630,6,600919_江苏银行；601077_渝农商行；601328_交通银行；601998_中信银行,002032_苏泊尔；600153_建发股份；600177_雅戈尔；600282_南钢股份,27.47
20250630,20250930,5,600282_南钢股份；600737_中粮糖业；601009_南京银行；601288_农业银行；601939_建设银行,600919_江苏银行；601077_渝农商行；601229_上海银行；601328_交通银行；601825_沪农商行,27.30
20250930,20251231,2,000001_平安银行；000651_格力电器；600016_民生银行；600750_华润江中；601229_上海银行；601369_陕鼓动力；601577_长沙银行；601825_沪农商行,600039_四川路桥；600282_南钢股份；601006_大秦铁路；601166_兴业银行；601288_农业银行；601838_成都银行；601939_建设银行；601998_中信银行,25.12
20251231,20260331,7,600938_中国海油；601838_成都银行；601857_中国石油,000651_格力电器；600737_中粮糖业；601577_长沙银行,24.96
20260331,20260630,7,000651_格力电器；600350_山东高速；600919_江苏银行,600750_华润江中；600938_中国海油；601857_中国石油,25.01
