公司,代码,交易日,股价_HKD,市值_亿港元,PE_TTM,股息率_%,来源
农夫山泉,9633.HK,2026-07-14,41.4400,4660.5351,25.4233,2.7524,Yahoo Finance（9633.HK，通过yfinance读取）
华润饮料,2460.HK,2026-07-14,7.4400,178.4258,15.8298,3.1552,Yahoo Finance（2460.HK，通过yfinance读取）
康师傅控股,0322.HK,2026-07-14,11.2600,634.6718,12.2391,4.0864,Yahoo Finance（0322.HK，通过yfinance读取）
统一企业中国,0220.HK,2026-07-14,7.5000,323.9500,13.6364,7.3202,Yahoo Finance（0220.HK，通过yfinance读取）
