年份,营收,净利润,扣非净利润,净资产收益率,销售净利率,销售毛利率,总资产周转率,权益乘数,经营现金流,资本开支,自由现金流,资产负债率,应收账款,存货,合同负债,货币资金,大额存单及定期存款,交易性金融资产,长期借款,应付债券,现金头寸_近似
2020,968.8564195194,70.781768,66.251129,25.18,7.35,35.97,1.472252414591265,2.3168981785507192,98.5163916455,65.2219714812,33.29442016429999,57.09,16.1634494447,75.4502554966,60.558979092799994,116.95184002059999,0.0,1.2321980515000002,13.7503169472,37.6245,66.80922112489999
2021,1105.9520316281,87.049151,79.437848,25.59,7.93,30.62,1.277696078386461,2.182408115814105,155.2751968007,66.8273408334,88.4478559673,52.15,19.589778574300002,89.1719563888,78.9132761501,317.42370910799997,0.0,0.3721324115,53.8017654025,31.8785,232.11557611700002
2022,1231.7104405627001,94.310647,85.856927,19.23,7.59,32.26,1.0575906141809466,2.2628807506439856,134.2032058036,66.46107588619999,67.7421299174,58.66,30.8834512178,148.3616480332,89.1255092183,338.533320203,62.3585885555,0.3015017579,92.9821140985,34.823,273.3882964179
2023,1261.7945859036,104.285405,100.261711,20.2,8.18,32.58,0.8930354462702168,2.5352304094041633,182.9035765056,69.5559770425,113.34759946310001,62.19,30.8466839814,125.1177591177,86.9577266408,433.7154199239,176.30148346080003,0.11457348279999999,117.05395738360001,35.4135,457.6640194839
2024,1157.795546493,84.5286,60.112749,15.81,7.33,33.88,0.758369134243806,2.670721388474463,217.3974039338,39.7831832096,177.6142207242,62.91,28.784020474400002,107.4467442037,120.7278535981,254.042555586,474.50119241010003,0.061215183,46.865300472200005,0.0,681.7396627069
2025,1159.3110577499,115.651665,110.683217,20.87,9.96,34.58,0.7581742514275142,2.6465722170136683,143.4392049032,30.3664415668,113.07276333639999,61.51,29.8742653159,108.23125184530001,105.6423950692,194.94920358,525.3515229536,0.0330054652,4.7247963272,0.0,715.6089356716001
