SECURITY_CODE,SECUCODE,SECURITY_NAME_ABBR,ORG_CODE,TRADE_MARKET,BOARD_CODE,BOARD_NAME,ORIG_BOARD_CODE,TOTAL_MARKET_CAP,NOTLIMITED_MARKETCAP_A,CLOSE_PRICE,CHANGE_RATE,TOTAL_SHARES,FREE_SHARES_A,PE_TTM,PE_LAR,PB_MRQ,PCF_OCF_LAR,PCF_OCF_TTM,PS_TTM,PEG_CAR,TRADE_DATE
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,194207838825.6,192766144725.9,31.95,-0.745573159366,6078492608,6033369162,31.2777765,32.36319996,7.73631948,27.71904101,26.84667062,2.90256519,4.12365609,2018-01-02
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,198219643946.88,196748168372.82,32.61,2.065727699531,6078492608,6033369162,31.9238902,33.03173555,7.89613077,28.29164092,27.40124973,2.96252428,4.2088396,2018-01-03
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,203143222959.36,201635197394.04,33.42,2.483900643974,6078492608,6033369162,32.71684791,33.85221104,8.09226282,28.99437717,28.08186955,3.03611044,4.31338299,2018-01-04
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,203204007885.44,201695531085.66,33.43,0.029922202274,6078492608,6033369162,32.72663751,33.86234037,8.0946842,29.00305292,28.09027226,3.03701891,4.31467365,2018-01-05
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,203994211924.48,202479869076.72,33.56,0.388872270416,6078492608,6033369162,32.85390233,33.99402162,8.12616218,29.11583775,28.19950754,3.04882904,4.33145222,2018-01-08
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,210255059310.72,208694239313.58,34.59,3.069129916567,6078492608,6033369162,33.86223128,35.0373423,8.37556466,30.00944064,29.06498706,3.14240156,4.46439012,2018-01-09
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,210437414088.96,208875240388.44,34.62,0.086730268864,6078492608,6033369162,33.89160008,35.06773029,8.38282881,30.03546791,29.09019521,3.14512697,4.4682621,2018-01-10
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,208066801971.84,206522226415.26,34.23,-1.126516464471,6078492608,6033369162,33.50980562,34.67268653,8.28839486,29.69711342,28.76248937,3.1096966,4.41792639,2018-01-11
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,211653112610.56,210081914220.84,34.82,1.723634238972,6078492608,6033369162,34.08739211,35.27031683,8.43125647,30.20898303,29.25824948,3.1632964,4.49407528,2018-01-12
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,209039360789.12,207487565481.18,34.39,-1.234922458357,6078492608,6033369162,33.66643925,34.83475576,8.32713699,29.83592552,28.89693279,3.12423214,4.43857694,2018-01-15
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,209951134680.32,208392570855.48,34.54,0.436173306194,6078492608,6033369162,33.81328327,34.98669567,8.36345774,29.96606186,29.0229735,3.1378592,4.45793682,2018-01-16
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,210255059310.72,208694239313.58,34.59,0.1447596989,6078492608,6033369162,33.86223128,35.0373423,8.37556466,30.00944064,29.06498706,3.14240156,4.46439012,2018-01-17
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,208188371824.0,206642893798.5,34.25,-0.982943047123,6078492608,6033369162,33.52938483,34.69294518,8.29323762,29.71446493,28.77929479,3.11151354,4.42050771,2018-01-18
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,204298136554.88,202781537534.82,33.61,-1.868613138686,6078492608,6033369162,32.90285034,34.04466825,8.1382691,29.15921654,28.24152111,3.05337139,4.33790552,2018-01-19
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,212686456353.92,211107586978.38,34.99,4.105920856888,6078492608,6033369162,34.25381533,35.44251539,8.47241999,30.35647089,29.40109562,3.1787404,4.51601649,2018-01-22
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,215543347879.68,213943270484.52,35.46,1.343240925979,6078492608,6033369162,34.7139266,35.91859376,8.586225,30.76423143,29.79602317,3.22143855,4.57667747,2018-01-23
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,213051165910.4,211469589128.1,35.05,-1.156232374506,6078492608,6033369162,34.31255294,35.50329135,8.48694828,30.40852543,29.4515119,3.18419123,4.52376044,2018-01-24
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,209100145715.2,207547899172.8,34.4,-1.854493580599,6078492608,6033369162,33.67622885,34.84488509,8.32955837,29.84460127,28.9053355,3.12514061,4.43986759,2018-01-25
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,210558983941.12,208995907771.68,34.64,0.697674418605,6078492608,6033369162,33.91117928,35.08798894,8.38767157,30.05281942,29.10700063,3.14694392,4.47084341,2018-01-26
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,203447147589.76,201936865852.14,33.47,-3.377598152425,6078492608,6033369162,32.76579592,33.90285767,8.10436973,29.03775595,28.12388312,3.0406528,4.31983629,2018-01-29
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,202596158624.64,201092194169.46,33.33,-0.418285031371,6078492608,6033369162,32.6287415,33.76104709,8.07047037,28.91629536,28.00624512,3.0279342,4.30176706,2018-01-30
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,207276597932.8,205737888424.2,34.1,2.310231023102,6078492608,6033369162,33.38254081,34.54100528,8.25691688,29.58432859,28.65325409,3.09788648,4.40114782,2018-01-31
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,210437414088.96,208875240388.44,34.62,1.524926686217,6078492608,6033369162,33.89160008,35.06773029,8.38282881,30.03546791,29.09019521,3.14512697,4.4682621,2018-02-01
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,210802123645.44,209237242538.16,34.68,0.173310225303,6078492608,6033369162,33.95033769,35.12850625,8.3973571,30.08752245,29.14061149,3.1505778,4.47600605,2018-02-02
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,200711825916.16,199221849729.24,33.02,-4.786620530565,6078492608,6033369162,32.32526385,33.44703796,7.99540749,28.64734692,27.745761,2.9997716,4.26175663,2018-02-05
600887,600887.SH,伊利股份,10004331,069001001001,016170,饮料乳品,1282,200651040990.08,199161516037.62,33.01,-0.030284675954,6078492608,6033369162,32.31547425,33.43690863,7.9929861,28.63867116,27.73735828,2.99886313,4.26046597,2018-02-06
