date,net_profit_yi,non_gaap_yi,net_profit_ttm_yi,non_gaap_ttm_yi,quarter,trade_date,adj_close,close
2014-03-31,10.842164,9.979867,37.842619,27.500073,2014Q1,2014-03-31,8.035115242004395,11.94333267211914
2014-06-30,12.086564,10.929138,37.421463,31.973141,2014Q2,2014-06-30,7.427380561828613,11.039999961853027
2014-09-30,12.6519,11.957925,42.297165,37.692106,2014Q3,2014-09-30,8.922879219055176,12.949999809265137
2014-12-31,5.862178,4.80956,41.442806000000004,37.67649,2014Q4,2014-12-31,9.863396644592285,14.3149995803833
2015-03-31,13.027679,12.594202,43.628321,40.290825,2015Q1,2015-03-31,10.628217697143555,15.425000190734863
2015-06-30,13.594105,13.185466,45.135862,42.547152999999994,2015Q2,2015-06-30,13.266106605529785,18.899999618530273
2015-09-30,9.751297,8.488249,42.235259,39.077477,2015Q3,2015-09-30,10.795381546020508,15.380000114440918
2015-12-31,9.944837,5.915772,46.317918000000006,40.183688999999994,2015Q4,2015-12-31,11.532386779785156,16.43000030517578
2016-03-31,15.537388,14.121452,48.82762700000001,41.710938999999996,2016Q1,2016-03-31,10.226832389831543,14.569999694824219
2016-06-30,16.577503,11.37534,51.811025,39.900813,2016Q2,2016-06-30,12.053281784057617,16.670000076293945
2016-09-30,11.784541,10.496105,53.844269000000004,41.908668999999996,2016Q3,2016-09-30,11.648370742797852,16.110000610351562
2016-12-31,12.718645,9.276087,56.61807700000001,45.268984,2016Q4,2016-12-30,12.72571849822998,17.600000381469727
2017-03-31,17.336533,16.557727,58.417222,47.705259,2017Q1,2017-03-31,13.6729154586792,18.90999984741211
2017-06-30,16.304578,14.627405,58.144297,50.957324,2017Q2,2017-06-30,16.136308670043945,21.59000015258789
2017-09-30,15.731562,14.441149,62.091318,54.902367999999996,2017Q3,2017-09-29,20.553430557250977,27.5
2017-12-31,10.636176,7.656213,60.008849000000005,53.282494,2017Q4,2017-12-29,24.0587215423584,32.189998626708984
2018-03-31,21.002355,19.97947,63.674671000000004,56.704237000000006,2018Q1,2018-03-30,21.315776824951172,28.520000457763672
2018-06-30,13.455954,12.300754,60.826047,54.37758600000001,2018Q2,2018-06-29,21.3420467376709,27.899999618530273
2018-09-30,16.019878,14.595513,61.114363000000004,54.53195,2018Q3,2018-09-28,19.643861770629883,25.68000030517578
2018-12-31,13.919309,11.904767,64.397496,58.780504,2018Q4,2018-12-28,17.50200843811035,22.8799991607666
2019-03-31,22.757677,21.817046,66.152818,60.618080000000006,2019Q1,2019-03-29,22.267635345458984,29.110000610351562
2019-06-30,15.047639,13.369824,67.744503,61.68715000000001,2019Q2,2019-06-28,26.172101974487305,33.40999984741211
2019-09-30,18.501604,17.451796,70.226229,64.54343300000001,2019Q3,2019-09-30,22.34146499633789,28.520000457763672
2019-12-31,13.030715,10.042923,69.337635,62.68158900000001,2019Q4,2019-12-31,24.237199783325195,30.940000534057617
2020-03-31,11.428548,13.685671,58.008506,54.55021400000001,2020Q1,2020-03-31,23.39116668701172,29.860000610351562
2020-06-30,25.923864,23.970517,68.88473099999999,65.15090700000002,2020Q2,2020-06-30,25.050216674804688,31.1299991607666
2020-09-30,22.891321,20.41583,73.27444799999999,68.11494100000002,2020Q3,2020-09-30,30.980836868286133,38.5
2020-12-31,10.538035,8.17911,70.781768,66.25112800000001,2020Q4,2020-12-31,35.704402923583984,44.369998931884766
2021-03-31,28.307006,26.282464,87.66022600000001,78.84792100000001,2021Q1,2021-03-31,32.21201705932617,40.029998779296875
2021-06-30,24.911495,23.821307,86.647857,78.698711,2021Q2,2021-06-30,30.26674461364746,36.83000183105469
2021-09-30,26.22395,25.366683,89.980486,83.649564,2021Q3,2021-09-30,30.98171043395996,37.70000076293945
2021-12-31,7.606699,3.967394,87.04915,79.43784800000002,2021Q4,2021-12-31,34.07166290283203,41.459999084472656
2022-03-31,35.190325,32.900519,93.932469,86.055903,2022Q1,2022-03-31,30.316057205200195,36.88999938964844
2022-06-30,26.135263,25.978476,95.156237,88.21307200000001,2022Q2,2022-06-30,32.83856201171875,38.95000076293945
2022-09-30,19.285396,16.928185,88.217683,79.774574,2022Q3,2022-09-30,27.805282592773438,32.97999954223633
2022-12-31,13.699663,10.049747,94.310647,85.85692700000001,2022Q4,2022-12-30,26.135953903198242,31.0
2023-03-31,36.150214,33.165352,95.27053599999999,86.12176000000001,2023Q1,2023-03-31,24.550935745239258,29.1200008392334
2023-06-30,26.901554,24.801317,96.036827,84.944601,2023Q2,2023-06-30,24.73716926574707,28.31999969482422
2023-09-30,30.749181,26.56861,107.50061199999999,94.58502600000001,2023Q3,2023-09-28,23.173627853393555,26.530000686645508
2023-12-31,10.484455,15.726432,104.285404,100.26171100000002,2023Q4,2023-12-29,23.365793228149414,26.75
2024-03-31,59.228145,37.276099,127.363335,104.37245800000002,2024Q1,2024-03-29,24.370304107666016,27.899999618530273
2024-06-30,16.083196,15.968501,116.54497699999999,95.53964200000001,2024Q2,2024-06-28,23.558706283569336,25.84000015258789
2024-09-30,33.373462,31.8441,119.16925800000001,100.815132,2024Q3,2024-09-30,26.503543853759766,29.06999969482422
2024-12-31,-24.156204,-24.975951,84.52859900000001,60.11274900000001,2024Q4,2024-12-31,27.515548706054688,30.18000030517578
2025-03-31,48.741042,46.29303,74.041496,69.12968000000001,2025Q1,2025-03-31,25.600948333740234,28.079999923706055
2025-06-30,23.263734,23.870465,81.22203400000001,77.03164400000001,2025Q2,2025-06-30,26.488676071166992,27.8799991607666
2025-09-30,32.25625,30.86432,80.104822,76.05186400000001,2025Q3,2025-09-30,25.91861915588379,27.280000686645508
2025-12-31,11.390639,9.655402,115.65166500000001,110.68321700000001,2025Q4,2025-12-31,27.630874633789062,28.600000381469727
2026-03-31,53.946513,53.288244,120.857136,117.678431,2026Q1,2026-03-31,25.457117080688477,26.350000381469727
