业务,收入_亿元,同比_%,毛利率_%
液体乳,704.2248001397,-6.11,31.43
奶粉及奶制品,327.6863471063,10.42,41.58
冷饮产品,98.2249866985,12.63,37.89
其他,15.3167944294,112.26,1.78
