业务,收入_亿元,同比_%,毛利率_%
魔芋零食,17.3738001206,107.23,34.48
海味零食,7.5995492435,12.53,45.64
健康蛋制品,6.2817433473,8.35,27.73
休闲豆制品,3.6017073961,-0.39,30.25
果干果冻,7.4916822621,4.32,20.93
烘焙薯类,8.981176915,-22.43,27.42
其他产品及业务,6.2926380298,-35.32,
