ETF代码,ETF名称,跟踪指数,接口报告期数,空报告期,有效报告期数,起始报告期,最新报告期,持仓明细行数,相邻期变化行数,前十大占基金净值范围(%),相邻期平均连续留在前十大数量
515450,南方标普中国A股大盘红利低波50ETF,标普中国A股大盘红利低波50,26,,26,20200331,20260630,260,25,28.19-37.65,6.84
512890,华泰柏瑞中证红利低波ETF,中证红利低波动,31,20181231,30,20190331,20260630,300,29,24.61-38.31,6.10
515180,易方达中证红利ETF,中证红利,27,20191231,26,20200331,20260630,260,25,15.36-25.41,5.88
515100,景顺长城中证红利低波动100ETF,中证红利低波动100,25,20200630,24,20200930,20260630,240,23,17.59-22.91,6.61
