ITEM_NAME,收入(亿),占比%,毛利率%
电气设备产品,267.596482,27.522999999999996,19.8063
煤炭产品,169.656608,17.4496,22.3859
电线电缆产品,155.689104,16.012999999999998,8.3436
新能源产品及工程,135.553561,13.941999999999998,0.5874
发电业务,71.833335,7.3882,54.7516
铝电子新材料、铝及合金制品,63.02534,6.4823,9.6633
输变电成套工程,49.249096,5.0653999999999995,15.9029
黄金,24.691367,2.5395999999999996,57.2309
其他(补充),15.6787827965,1.6126,37.0888
其他,13.766687,1.4159,30.9707
物流贸易,5.525021,0.5682999999999999,10.509
