REPORT_DATE,PRETAX_BONUS_RMB,IMPL_PLAN_PROFILE,ASSIGN_PROGRESS,BASIC_EPS
2025-12-31,3.6,10派3.60元(含税),股东大会决议通过,1.161
2024-12-31,2.5,"10派2.50元(含税,扣税后2.25元)",实施分配,0.7962
2023-12-31,2.0,"10派2.00元(含税,扣税后1.80元)",实施分配,2.3888
2022-12-31,11.2,"10转3.00派11.20元(含税,扣税后10.08元)",实施分配,4.1183
2021-12-31,5.8,"10派5.80元(含税,扣税后5.22元)",实施分配,1.8813
2020-12-31,2.1,"10派2.10元(含税,扣税后1.89元)",实施分配,0.5907
2019-12-31,1.65,"10派1.65元(含税,扣税后1.485元)",实施分配,0.4695
2018-12-31,1.8,"10派1.80元(含税,扣税后1.62元)",实施分配,0.4905
