年份,营收(亿),归母净利(亿),扣非净利(亿),毛利率%,净利率%,ROE%,资产负债率%,总资产周转率,权益乘数,经营现金流(亿),资本开支(亿),自由现金流(亿),应收账款(亿),存货(亿),合同负债(亿),货币资金(亿)
2020,446.6898518759,24.481453062600004,17.974598,20.212935675,7.0231292072,6.8142,57.4696515984,0.422097438068,2.35126218708,52.58062188979999,73.6397436488,-21.059121759000007,126.1598092749,60.1808702958,38.0193460006,204.2315117349
2021,690.3229764814,72.5479595939,58.285819,28.4923134266,14.6410357254,19.367,55.3625725059,0.563496481744,2.240272471195,113.5826007518,111.8922520569,1.6903486948999977,128.9796212015,97.51850373129999,48.872620884300005,209.48267803419998
2022,965.1039005385,159.1420608819,159.057456,38.4974520808,23.7410269684,33.1996,52.9747532199,0.62955205337,2.126517282676,217.997259058,194.970724764,23.026534293999976,129.3153697241,141.8712508577,66.5110571038,163.0424917766
2023,982.0643955202,107.0271066239,103.856962,27.3027195544,14.3625522166,18.4207,54.282101216,0.541213267921,2.187327122632,258.1207625551,189.03790907409999,69.08285348099999,134.70048055889998,144.2393664651,70.5844710375,253.7111166767
2024,979.0631394533,41.4392486981,39.384098,18.126165246,3.683110496,6.4511,56.5740498321,0.489708305518,2.302770569518,129.1358896374,172.02043971779997,-42.88455008039999,169.32373296309999,162.20390090290002,74.29199380909999,281.8015694821
2025,973.1807703024001,59.5429495825,45.542495,18.8023708851,6.17216607,8.7546,55.6002375474,0.447328676691,2.252264302242,93.30630988809999,220.78386964860002,-127.47755976050001,195.14675324779998,213.88484999009998,75.242981505,256.8753984119
