公司,代码,最新价,市值(亿)
中国西电,601179.SS,16.260000228881836,833.4684821674136
思源电气,002028.SZ,187.0,1463.18371034
平高电气,600312.SS,18.3700008392334,249.26645585103682
正泰电器,601877.SS,25.899999618530273,556.5829565863339
通威股份,600438.SS,12.239999771118164,551.043656516561
大全能源,688303.SS,18.0,386.13703032
