代码,公司,日期,市值_亿元,PE_TTM,定位
002847.SZ,盐津铺子,2026-07-17,131.311095354,16.39434642,多品类制造/魔芋
003000.SZ,劲仔食品,2026-07-17,46.442098377,18.84557128,鱼制零食
002991.SZ,甘源食品,2026-07-17,38.954895774899995,17.5466912,籽类/坚果
002557.SZ,洽洽食品,2026-07-17,97.630064408,23.84366182,瓜子坚果
300783.SZ,三只松鼠,2026-07-17,67.96533888,35.83499822,线上综合零食
603719.SH,良品铺子,2026-07-17,35.93790102,-56.32728207,综合零食
