年份,经营现金流,资本开支,自由现金流,净利润,经营现金流/净利润,自由现金流/净利润
2020,8.0083,1.0281,6.9802,0.4329,18.4996,16.1246
2021,28.009,0.247,27.7621,4.4044,6.3593,6.3033
2022,21.4488,0.4557,20.993,7.8,2.7499,2.6914
2023,19.5344,0.5445,18.9899,11.5088,1.6973,1.65
2024,28.5072,0.974,27.5332,15.5713,1.8307,1.7682
2025,22.8921,0.8267,22.0654,17.3874,1.3166,1.269
