date,net_profit_yuan,non_gaap_yuan,revenue_yuan,eps,net_profit_yi,non_gaap_yi,revenue_yi,net_profit_ttm_yi,non_gaap_ttm_yi,eps_ttm,trade_date,adj_close,close
2009-03-31,75929700.0,75809000.0,399570864.33,0.145,0.759297,0.75809,3.9957086433,2.8697340000000002,2.928552,0.555,2009-03-31,12.254534721374512,17.200000762939453
2009-06-30,82873000.0,81989700.0,511483291.83,0.16,0.82873,0.819897,5.114832918299999,3.14578,3.228341,0.605,2009-06-30,12.781764030456543,17.940000534057617
2009-09-30,83102600.0,81873300.0,535465665.22,0.11,0.831026,0.818733,5.3546566522,3.45484,3.5487599999999997,0.6150000000000001,2009-09-30,13.864720344543457,19.459999084472656
2009-12-31,149594700.0,150162600.0,643596653.16,0.27,1.495947,1.501626,6.4359665316,3.915,3.898346,0.685,2009-12-31,18.631168365478516,26.149999618530273
2010-03-31,167001200.0,166276300.0,636166283.59,0.2553,1.670012,1.662763,6.361662835900001,4.825715,4.803019,0.7953,2010-03-31,20.091737747192383,28.200000762939453
2010-06-30,138092000.0,137835700.0,607460161.97,0.21,1.38092,1.378357,6.0746016197,5.377905,5.361479,0.8452999999999999,2010-06-30,24.76555824279785,34.7599983215332
2010-09-30,114915400.0,106767000.0,532825098.13,0.18,1.149154,1.06767,5.3282509813,5.696033,5.610416,0.9153,2010-09-30,35.44369125366211,49.279998779296875
2010-12-31,162215700.0,131776100.0,687332725.19,0.25,1.622157,1.317761,6.8733272519,5.822243,5.426551,0.8953,2010-12-31,36.75269317626953,51.099998474121094
2011-03-31,268855100.0,257395500.0,704355156.02,0.4111,2.688551,2.573955,7.0435515602,6.840782,6.337743,1.0511,2011-03-31,30.991657257080078,43.09000015258789
2011-06-30,180675800.0,170236200.0,575638505.57,0.28,1.806758,1.702362,5.756385055700001,7.2666200000000005,6.661747999999999,1.1211000000000002,2011-06-30,29.675458908081055,41.2599983215332
2011-09-30,163408200.0,157153600.0,582922040.84,0.25,1.634082,1.571536,5.8292204084,7.751548,7.165614,1.1911,2011-09-30,30.03217315673828,41.4900016784668
2011-12-31,243227000.0,224815700.0,895932551.34,0.37,2.43227,2.248157,8.9593255134,8.561661,8.09601,1.3111000000000002,2011-12-30,31.0889835357666,42.95000076293945
2012-03-31,333170800.0,311976000.0,713833075.46,0.5094,3.331708,3.11976,7.1383307546,9.204818,8.641815000000001,1.4094,2012-03-30,29.18528175354004,40.31999969482422
2012-06-30,132793000.0,114921700.0,434901837.62,0.2,1.32793,1.149217,4.3490183762,8.72599,8.088669999999999,1.3294,2012-06-29,28.960886001586914,40.0099983215332
2012-09-30,272864300.0,239314800.0,712103387.73,0.42,2.728643,2.393148,7.1210338773,9.820551,8.910281999999999,1.4994,2012-09-28,28.248807907104492,38.720001220703125
2012-12-31,301390000.0,272002600.0,1195235963.13,0.46,3.0139,2.720026,11.952359631300002,10.402180999999999,9.382151,1.5894,2012-12-31,29.481769561767578,40.40999984741211
2013-03-31,383177600.0,373370400.0,967742861.79,0.5859,3.831776,3.733704,9.6774286179,10.902249000000001,9.996095,1.6659,2013-03-29,38.01041030883789,52.099998474121094
2013-06-30,158954900.0,148228900.0,785257551.14,0.24,1.589549,1.482289,7.8525755113999995,11.163868,10.329167,1.7059,2013-06-28,28.219629287719727,38.68000030517578
2013-09-30,318397600.0,316293700.0,1098540413.27,0.49,3.183976,3.162937,10.9854041327,11.619201,11.098956,1.7758999999999998,2013-09-30,29.9583797454834,40.40999984741211
2013-12-31,342348000.0,316286800.0,1164763589.1,0.52,3.42348,3.162868,11.647635890999998,12.028781,11.541798,1.8358999999999999,2013-12-31,29.32823371887207,39.560001373291016
2014-03-31,427168200.0,403399800.0,946548472.28,0.6531,4.271682,4.033998,9.4654847228,12.468687000000001,11.842092,1.9031,2014-03-31,25.2804012298584,34.099998474121094
2014-06-30,194258900.0,160587300.0,780073677.17,0.3,1.942589,1.605873,7.8007367717,12.821727,11.965676,1.9631,2014-06-30,24.70213508605957,33.31999969482422
2014-09-30,301702600.0,278702300.0,877491441.24,0.46,3.017026,2.787023,8.7749144124,12.654777,11.589762,1.9331,2014-09-30,26.33893394470215,34.849998474121094
2014-12-31,442418100.0,421746100.0,1404896877.52,0.68,4.424181,4.217461,14.0489687752,13.655478,12.644355000000001,2.0931,2014-12-31,28.175477981567383,37.279998779296875
2015-03-31,526101900.0,505601400.0,1432023304.19,0.8044,5.261019,5.056014,14.3202330419,14.644815000000001,13.666371000000002,2.2444,2015-03-31,31.523584365844727,41.709999084472656
2015-06-30,246063500.0,217865300.0,1115234614.94,0.38,2.460635,2.178653,11.152346149400001,15.162861,14.239151,2.3244,2015-06-30,41.19001007080078,54.5
2015-09-30,357640400.0,336303100.0,1237582081.46,0.55,3.576404,3.363031,12.3758208146,15.722239000000002,14.815159000000001,2.4144,2015-09-30,32.01838684082031,41.68000030517578
2015-12-31,495221200.0,437296500.0,1664823157.18,0.76,4.952212,4.372965,16.6482315718,16.25027,14.970663,2.4943999999999997,2015-12-31,40.17661666870117,52.29999923706055
2016-03-31,544384600.0,522574000.0,1483073808.28,0.8324,5.443846,5.22574,14.8307380828,16.433097,15.140389,2.5224,2016-03-31,37.29589080810547,48.54999923706055
2016-06-30,284575000.0,272038300.0,1191276476.74,0.44,2.84575,2.720383,11.9127647674,16.818212,15.682119,2.5824000000000003,2016-06-30,40.58375549316406,52.83000183105469
2016-09-30,396972500.0,328767200.0,1310322641.62,0.61,3.969725,3.287672,13.103226416199998,17.211533,15.606760000000001,2.6424000000000003,2016-09-30,46.342891693115234,59.5
2016-12-31,626541500.0,615721000.0,2332462359.6,0.96,6.265415,6.15721,23.324623596,18.524735999999997,17.391005,2.8424,2016-12-30,41.957847595214844,53.869998931884766
2017-03-31,604566200.0,585325100.0,1676337150.97,0.9244,6.045662,5.853251,16.7633715097,19.126551999999997,18.018515999999998,2.9343999999999997,2017-03-31,51.09401321411133,65.5999984741211
2017-06-30,296904200.0,253546200.0,1258054406.34,0.45,2.969042,2.535462,12.5805440634,19.249844,17.833595,2.9444,2017-06-30,55.99311065673828,71.88999938964844
2017-09-30,345125600.0,336787400.0,1546547722.83,0.53,3.451256,3.367874,15.4654772283,18.731375,17.913797,2.8644,2017-09-29,51.26758575439453,64.93000030517578
2017-12-31,797756500.0,784887300.0,2891401052.04,1.22,7.977565,7.848873,28.914010520399998,20.443525,19.60546,3.1244,2017-12-29,47.5881233215332,60.27000045776367
2018-03-31,609415800.0,597159700.0,1695873918.74,0.9318,6.094158,5.971597,16.9587391874,20.492021,19.723806,3.1318,2018-03-30,48.677757263183594,61.650001525878906
2018-06-30,252836900.0,182874000.0,1290108437.84,0.39,2.528369,1.82874,12.901084378399998,20.051347999999997,19.017084,3.0718,2018-06-29,42.487422943115234,53.810001373291016
2018-09-30,362824200.0,324032100.0,1398303075.55,0.55,3.628242,3.240321,13.9830307555,20.228334,18.889531,3.0918,2018-09-28,38.196624755859375,47.470001220703125
