年度,标普中国A股大盘红利低波50,标普中国A股红利机会,中证红利低波动,中证红利,中证红利低波动100,中证全指红利质量,中证红利质量,上证红利,中证沪港深红利成长低波动,深证红利（159905复权净值代理）
2017,0.1765539769,0.1316092770,0.2356780408,0.2134049327,0.1549512997,0.5155020704,0.4652580450,0.2052105494,0.3058454053,0.4919694237
2018,-0.0740530094,-0.2145587946,-0.1639490526,-0.1615243543,-0.1411704378,-0.1747741594,-0.1639517160,-0.1358710243,-0.1142387921,-0.2627943124
2019,0.1816993578,0.2152549518,0.2093962883,0.2087583597,0.1688062568,0.3740346492,0.4566208569,0.1626639533,0.1287489328,0.6001874122
2020,-0.0179215884,0.0611989829,0.0199000051,0.0818482498,0.0233847570,0.3666780122,0.4328217180,-0.0105441306,-0.0430728328,0.3411575249
2021,0.1643731501,0.2312426226,0.1633725825,0.1819152085,0.1927114055,0.1037746869,0.0895487690,0.1324893660,0.1636918442,-0.1274242259
2022,-0.0328745403,-0.0358652449,0.0345657792,-0.0036743962,0.0077447018,-0.0549100573,-0.1199496904,0.0345807523,0.0326193582,-0.1924857179
2023,0.1597000862,0.1420545813,0.1223128790,0.0634104015,0.1326154035,-0.0156680801,-0.0252335544,0.0906089128,0.1019995935,-0.0911954557
2024,0.3183263129,0.1498345871,0.2482166369,0.1875723845,0.1863618318,0.2284166447,0.0754179264,0.2129925621,0.3193805599,0.1120466851
2025,0.0361476854,0.1894517848,0.0557489828,0.0376258879,0.0396650139,0.2036454939,0.1118714788,0.0041019193,0.1327036533,0.0928415698
