报告期,同花顺行业大类,前十大中占比(%),占基金净值比例(%),前十大持仓合计(%)
20200331,周期,51.47,9.78,19.00
20200331,制造,20.47,3.89,19.00
20200331,基建,16.11,3.06,19.00
20200331,科技,11.95,2.27,19.00
20200630,周期,31.54,6.43,20.39
20200630,制造,30.01,6.12,20.39
20200630,基建,27.61,5.63,20.39
20200630,科技,10.84,2.21,20.39
20200930,周期,31.92,6.80,21.30
20200930,制造,31.36,6.68,21.30
20200930,基建,20.19,4.30,21.30
20200930,消费,8.40,1.79,21.30
20200930,科技,8.13,1.73,21.30
20201231,周期,49.10,8.43,17.17
20201231,基建,19.85,3.41,17.17
20201231,科技,19.69,3.38,17.17
20201231,医疗,11.36,1.95,17.17
20210331,周期,61.94,11.31,18.26
20210331,基建,28.09,5.13,18.26
20210331,医疗,9.97,1.82,18.26
20210630,周期,36.36,8.21,22.58
20210630,基建,32.29,7.29,22.58
20210630,医疗,15.90,3.59,22.58
20210630,制造,15.45,3.49,22.58
20210930,周期,72.69,18.47,25.41
20210930,基建,18.50,4.70,25.41
20210930,医疗,8.81,2.24,25.41
20211231,周期,29.98,4.83,16.11
20211231,基建,25.88,4.17,16.11
20211231,医疗,25.08,4.04,16.11
20211231,消费,10.06,1.62,16.11
20211231,制造,9.00,1.45,16.11
20220331,周期,45.25,8.67,19.16
20220331,基建,33.19,6.36,19.16
20220331,医疗,21.56,4.13,19.16
20220630,周期,63.87,12.27,19.21
20220630,基建,25.77,4.95,19.21
20220630,医疗,10.36,1.99,19.21
20220930,周期,63.50,13.59,21.40
20220930,基建,27.76,5.94,21.40
20220930,医疗,8.74,1.87,21.40
20221231,周期,51.54,8.05,15.62
20221231,基建,29.26,4.57,15.62
20221231,消费,9.92,1.55,15.62
20221231,金融,9.28,1.45,15.62
20230331,周期,43.09,7.20,16.71
20230331,基建,28.73,4.80,16.71
20230331,消费,18.31,3.06,16.71
20230331,金融,9.87,1.65,16.71
20230630,周期,46.59,8.74,18.76
20230630,基建,18.98,3.56,18.76
20230630,金融,17.27,3.24,18.76
20230630,消费,17.16,3.22,18.76
20230930,周期,45.11,8.40,18.62
20230930,消费,25.89,4.82,18.62
20230930,基建,20.19,3.76,18.62
20230930,金融,8.81,1.64,18.62
20231231,周期,80.01,12.29,15.36
20231231,基建,10.61,1.63,15.36
20231231,消费,9.38,1.44,15.36
20240331,周期,52.53,8.73,16.62
20240331,基建,29.72,4.94,16.62
20240331,金融,8.90,1.48,16.62
20240331,制造,8.85,1.47,16.62
20240630,周期,41.31,7.37,17.84
20240630,基建,29.82,5.32,17.84
20240630,金融,17.60,3.14,17.84
20240630,消费,11.27,2.01,17.84
20240930,周期,33.02,5.61,16.99
20240930,基建,30.49,5.18,16.99
20240930,消费,17.72,3.01,16.99
20240930,制造,9.89,1.68,16.99
20240930,金融,8.88,1.51,16.99
20241231,周期,57.16,9.18,16.06
20241231,基建,24.72,3.97,16.06
20241231,消费,18.12,2.91,16.06
20250331,基建,33.19,5.23,15.76
20250331,周期,29.19,4.60,15.76
20250331,消费,19.54,3.08,15.76
20250331,制造,9.64,1.52,15.76
20250331,金融,8.44,1.33,15.76
20250630,金融,45.27,7.51,16.59
20250630,基建,23.99,3.98,16.59
20250630,周期,11.03,1.83,16.59
20250630,制造,10.55,1.75,16.59
20250630,消费,9.16,1.52,16.59
20250930,周期,26.66,4.71,17.67
20250930,金融,23.09,4.08,17.67
20250930,基建,21.90,3.87,17.67
20250930,制造,20.49,3.62,17.67
20250930,消费,7.86,1.39,17.67
20251231,周期,72.23,11.60,16.06
20251231,基建,27.77,4.46,16.06
20260331,周期,75.04,13.41,17.87
20260331,基建,24.96,4.46,17.87
20260630,周期,62.96,12.02,19.09
20260630,基建,37.04,7.07,19.09
