代码,公司,日期,市值_亿元,PE_TTM,定位
603605.SH,珀莱雅,2026-07-17,224.6372125977,15.23835628,国货美妆龙头
300957.SZ,贝泰妮,2026-07-17,133.73052,24.61245714,敏感肌护肤
688363.SH,华熙生物,2026-07-17,174.3193557798,68.40884054,生物活性物/护肤
600315.SH,上海家化,2026-07-17,118.37899507799999,43.42894102,综合日化
603983.SH,丸美生物,2026-07-17,116.6509,54.71070906,眼部护理/彩妆
