年份,营收,净利润,扣非净利润,净资产收益率,销售净利率,销售毛利率,总资产周转率,权益乘数,经营现金流,资本开支,自由现金流,资产负债率,应收账款,存货,合同负债,货币资金,大额存单及定期存款,交易性金融资产,长期借款,应付债券,现金头寸_近似
2020,37.5238684902,4.760093,4.699359,21.82,12.04,63.55,1.134294623633313,1.453506830515241,3.3155010914,1.8405725567,1.4749285347,31.76,2.8487841958,4.6864101775,0.3061877899,14.1665464093,0.0,0.0,0.0,0.0,14.1665464093
2021,46.3315053843,5.76119,5.680925,22.25,12.02,66.46,1.1204809316880522,1.5403967105115908,8.2967094382,1.9410266669999998,6.3556827712000015,37.69,1.386266279,4.4793875829,0.9115198532,23.9104824981,0.0,0.0,0.0,6.955867788,16.9546147101
2022,63.85451424,8.174002,7.885132,25.95,13.02,69.7,1.2266596558764156,1.6206441904148379,11.1113611723,1.7096340543000001,9.401727118,38.78,1.0215789841,6.6905132673,1.7460283391,31.610030850500003,0.0,0.0,0.0,7.2449155793,24.365115271200004
2023,89.0457350139,11.938681,11.741443,29.94,13.82,69.93,1.3593575326883185,1.6505314018430313,14.687938145799999,1.7965868853,12.891351260499999,39.91,3.4457019654,7.972151556799999,3.0101487357999996,40.110855580700004,0.0,0.0,0.0,7.5311990288,32.5796565519
2024,107.784117812,15.519957,15.216688,32.53,14.71,71.39,1.4513192546510645,1.502369104690601,11.070006641900001,2.9973686713,8.0726379706,27.14,5.1795458712,6.6141015337,1.5371058862,40.8212641684,0.0,0.0,0.0,7.8001129332,33.0211512352
2025,105.9742852223,14.977514,14.725097,25.8,14.56,73.26,1.3232231079990153,1.362878620192873,21.9314664913,1.6932208949,20.238245596400002,26.17,0.7015061887,6.3471758247,1.6728740283,50.6098155827,0.0,0.0,0.0,8.0439207395,42.565894843200006
