证券代码,证券名称,同花顺行业大类,进入前十大期数,最长连续期数,前十大期间平均基金净值权重(%),历史最高基金净值权重(%),首次报告期,最近报告期,2025归母净利同比(%),公司自身2021-2025归母净利CAGR(%),2025加权ROE(%),2025每股税前分红(元),2025分红支付率(%)
601088,中国神华,周期,16,16,3.18,4.39,20201231,20240930,-5.30,1.35,12.76,2.010,75.6
601328,交通银行,金融,14,12,2.47,2.77,20210630,20250630,2.18,2.22,8.38,0.325,30.1
600188,兖矿能源,周期,12,8,5.16,10.00,20201231,20240930,-43.61,-15.27,9.95,0.500,59.6
600350,山东高速,基建,12,5,2.45,2.64,20201231,20260630,0.30,1.23,8.20,0.420,77.1
600028,中国石化,周期,10,6,3.42,5.55,20191231,20240331,-36.78,-18.25,3.86,0.200,76.3
601006,大秦铁路,基建,9,4,2.42,2.85,20191231,20250930,-34.73,-16.58,3.64,0.222,73.9
