业务,收入_亿元,同比_%,占比_%,上年收入_亿元,收入增量_亿元
体外诊断,122.406569,-9.41,36.90051683967061,135.1215023733304,-12.714933373330396
生命信息与支持,98.367237,-19.8,29.65365270053742,122.65241521197007,-24.285178211970063
医学影像,57.167056,-18.02,17.233502497749058,69.73292998292267,-12.565873982922668
新兴业务,53.779611,38.85,16.21232796204291,38.73216492617933,15.047446073820673
