年份,营收,净利润,扣非净利润,毛利率,净利率,总资产周转率,权益乘数,简单ROE,经营现金流,资本开支,自由现金流,现金头寸_近似,资产负债率,应收账款,存货,合同负债
2020,210.25846389,66.57676062,65.3965643,64.96647939531373,31.66424760661748,0.6312856795240568,1.4300490935092502,28.58551741504603,88.70109849,11.82710693,76.87399156000001,158.64751347,30.07233076550797,14.43117646,35.40721551,32.93398162
2021,252.69580818,80.01553606,78.50417234,65.00648238018587,31.664765884443728,0.6631909710846804,1.4128952094903744,29.67049822100698,89.98649175,14.02493907,75.96155268,153.61062758,29.223342730371645,16.58675548,35.65329699,24.08192187
2022,303.65643811,96.07174094,95.25117528,64.15261429742259,31.638302002738328,0.6495986732311005,1.4608291808499199,30.02325203606306,121.41147876,19.15528356,102.2561952,231.85663305,31.545726693507486,26.58711527,40.24915834,41.42767341
2023,349.31900884,115.82226085,114.33734957,64.1784850399268,33.15658693599768,0.7286587120061677,1.4376520690398586,34.733438114303574,110.62025295,26.8866799,83.73357304999999,187.87180188,30.442140936933804,32.95124769,39.7863158,19.73361518
2024,367.25749548,116.68487164,114.42036083,63.11165993686909,31.771951036014833,0.6483660133786412,1.389746758280745,28.628579248121948,124.32041281,19.59448254,104.72593026999999,166.44066286,28.044444497420574,32.19300494,47.57425283,21.65767452
2025,332.82159404,81.35775409,80.68550808,60.31556122403337,24.444854404555873,0.5615652867816012,1.377934172538055,18.91542830811708,101.44968535,20.37744137,81.07224398,179.36795423,27.427592701466104,34.08119891,50.0371748,30.00601014
