年份,营收,净利润,扣非净利润,净资产收益率,销售净利率,销售毛利率,总资产周转率,权益乘数,经营现金流,资本开支,自由现金流,资产负债率,应收账款,存货,合同负债,货币资金,受限货币资金,大额存单及定期存款,交易性金融资产,长期借款,应付债券,现金头寸_近似
2020,24.9611631271,3.962715,2.53021,16.23,15.83,38.84,0.7258785161585126,1.3414045525249445,6.095588122100001,3.2882642717,2.8073238504000004,23.87,2.8947284755,3.3954250322000004,0.3575358752,6.7285253647,0.10785,0.0,0.0,0.1466301386,0.0,6.5818952261
2021,33.556760524,4.486412,4.394597,17.4,13.27,38.02,0.9018452542663842,1.3979793765360295,6.3443349292999995,4.4965305523,1.8478043769999992,32.35,4.2720488625,5.4984939214,0.406648168,6.3378259461,0.1081803,0.0,0.0,0.047759085300000004,0.0,6.2900668608000005
2022,36.2806972358,4.886463,4.732797,17.69,13.43,39.01,0.8227001573569601,1.557043581910546,7.9481030622,7.3418749195,0.6062281426999998,38.57,3.8112347589,5.63374782,0.49830999950000004,8.2134575562,0.10839735,0.0,0.0,1.99351925,0.0,6.2199383062
2023,39.065160691500004,5.58105,5.333249,16.9,14.26,40.92,0.7227228183183061,1.4779912570476799,6.8764186272000005,6.712371151599999,0.16404747560000063,27.32,4.6520091329,6.0453292022000005,0.4040305959,14.1514914819,0.20840638190000002,0.0,0.0,0.9810480506,0.0,13.1704434313
2024,46.744231507399995,7.003345,6.884949,16.02,15.12,41.73,0.7588359400488722,1.4028468169974015,10.8990909997,7.6578780162,3.2412129835,30.06,5.1295000664999995,7.0389159647,0.46181411240000003,11.0789184903,0.165432271,0.0,0.0,0.0,0.0,11.0789184903
2025,48.003149021300004,6.445981,6.285714,14.41,13.5,42.03,0.7322816468656298,1.4548080486556556,11.345129036900001,8.7131369513,2.6319920856000008,32.38,5.5566307374,7.281136324099999,0.419575948,12.1560884447,0.19008312489999998,0.0,0.0,0.0,0.0,12.1560884447
